Member_number,Date,itemDescription
3210,21/12/14,cling film/bags
4696,08/09/14,rolls/buns
4573,24/03/14,sliced cheese
4409,06/05/14,bottled water
2994,12/07/14,yogurt
4233,18/01/14,soda
2353,18/01/14,soda
4561,25/02/14,oil
1182,16/11/14,baking powder
1223,18/11/14,semi-finished bread
3837,01/12/14,bottled water
1268,30/01/14,margarine
1649,24/11/14,yogurt
1113,07/01/14,yogurt
3248,25/10/14,white bread
3803,17/06/14,skin care
2389,13/10/14,shopping bags
4266,29/11/14,soda
2719,16/02/14,rolls/buns
1679,19/08/14,brown bread
3861,18/03/14,newspapers
3402,26/12/14,flower (seeds)
3559,12/11/14,pastry
4958,10/05/14,instant coffee
4780,09/03/14,newspapers
4162,16/02/14,red/blush wine
3813,25/12/14,specialty bar
4624,22/04/14,yogurt
2004,14/09/14,beverages
3978,06/09/14,baking powder
4124,27/07/14,pastry
4280,01/03/14,margarine
3279,26/11/14,ketchup
4649,10/09/14,cream cheese 
2293,26/08/14,salty snack
3030,02/05/14,pastry
4856,08/07/14,pasta
3917,30/05/14,hard cheese
1486,30/11/14,soft cheese
2334,02/03/14,coffee
2097,14/03/14,newspapers
4169,04/04/14,specialty chocolate
4821,20/04/14,mustard
1487,09/04/14,popcorn
3308,12/04/14,frozen dessert
2611,26/04/14,domestic eggs
3203,04/03/14,onions
4166,07/12/14,pasta
1010,05/03/14,coffee
4890,30/11/14,margarine
3763,04/02/14,sparkling wine
1867,22/02/14,sweet spreads
1532,11/10/14,rolls/buns
2923,11/03/14,sliced cheese
3489,11/01/14,frozen dessert
4370,27/05/14,curd
1086,26/09/14,herbs
4156,13/12/14,shopping bags
2310,21/03/14,shopping bags
1073,05/06/14,bottled water
4818,07/01/14,white bread
2724,23/04/14,pastry
2570,29/07/14,bottled water
4495,25/05/14,pip fruit
1423,26/02/14,shopping bags
2298,12/10/14,Instant food products
1442,28/07/14,yogurt
4265,17/04/14,flour
3589,04/03/14,margarine
3011,29/08/14,bottled water
4931,26/09/14,waffles
3068,05/09/14,dog food
2736,10/06/14,semi-finished bread
2243,02/10/14,frozen potato products
1769,16/07/14,canned vegetables
1361,10/12/14,hard cheese
4708,09/11/14,frozen fish
4019,31/10/14,rum
2441,12/10/14,nut snack
2863,07/07/14,tidbits
1196,20/01/14,shopping bags
4418,20/02/14,long life bakery product
2911,23/03/14,butter
3101,07/02/14,domestic eggs
4948,03/04/14,sliced cheese
1478,07/04/14,hard cheese
2126,27/04/14,brandy
2555,12/12/14,mustard
3170,29/03/14,beverages
2244,21/07/14,misc. beverages
1666,13/05/14,flower (seeds)
4415,06/03/14,bottled beer
4785,16/09/14,brown bread
4598,14/12/14,curd
1636,09/07/14,hygiene articles
3258,15/06/14,bottled beer
4065,12/10/14,bottled water
1501,24/05/14,baking powder
1120,21/08/14,sugar
2014,21/04/14,coffee
4533,17/10/14,candy
3017,11/09/14,whole milk
2152,07/09/14,flour
2231,05/10/14,cake bar
3314,13/08/14,ice cream
4211,29/05/14,newspapers
4899,10/05/14,rolls/buns
1890,12/04/14,flour
1268,26/09/14,sauces
3172,24/03/14,bottled beer
1444,30/04/14,yogurt
4758,08/05/14,butter
3125,23/02/14,newspapers
3258,19/12/14,yogurt
4474,18/07/14,yogurt
1204,25/05/14,waffles
4212,14/03/14,butter
3106,10/01/14,pastry
2284,06/01/14,fruit/vegetable juice
3849,06/01/14,whole milk
2588,07/01/14,coffee
3733,05/08/14,newspapers
4306,01/07/14,misc. beverages
1718,03/12/14,rolls/buns
2893,19/01/14,rolls/buns
2806,06/04/14,curd
4710,08/04/14,domestic eggs
2848,14/07/14,bottled water
4807,02/05/14,cream cheese 
3747,05/11/14,salt
2048,07/11/14,fruit/vegetable juice
4358,11/08/14,coffee
1581,17/02/14,napkins
3815,03/09/14,cake bar
2176,27/09/14,hard cheese
4726,01/04/14,whole milk
1844,10/04/14,yogurt
1458,20/10/14,rolls/buns
4491,18/09/14,bottled water
1013,12/11/14,mayonnaise
1538,12/06/14,dessert
3420,20/08/14,bottled beer
2414,04/06/14,cling film/bags
3714,07/06/14,butter
2484,19/03/14,hygiene articles
2315,03/06/14,newspapers
4056,10/05/14,salty snack
2630,11/01/14,processed cheese
2324,15/04/14,soda
1185,28/09/14,chewing gum
2415,25/06/14,candy
3524,27/03/14,whipped/sour cream
4583,06/06/14,other vegetables
1827,03/12/14,coffee
4393,05/02/14,coffee
3177,13/09/14,soda
3201,20/09/14,newspapers
4033,25/02/14,white bread
3059,12/07/14,misc. beverages
4006,25/11/14,napkins
1070,10/04/14,red/blush wine
1116,11/08/14,zwieback
3422,27/07/14,pastry
4720,24/08/14,soft cheese
1595,09/11/14,nut snack
3776,21/02/14,white wine
1058,24/05/14,other vegetables
4313,17/07/14,newspapers
1618,30/10/14,napkins
3834,21/03/14,chocolate marshmallow
4493,29/11/14,margarine
2843,06/06/14,rolls/buns
1754,20/04/14,cream cheese 
2107,30/10/14,canned beer
4157,01/04/14,frozen meals
2029,15/07/14,cake bar
1122,25/09/14,dishes
2993,24/06/14,shopping bags
4938,13/10/14,mayonnaise
2753,07/07/14,butter
3450,03/04/14,soda
4745,14/08/14,pastry
2520,18/12/14,other vegetables
1260,09/07/14,curd
4121,21/04/14,other vegetables
3145,16/08/14,candy
3479,10/05/14,pastry
1166,17/02/14,brown bread
3021,22/06/14,onions
2489,06/02/14,rolls/buns
3343,16/06/14,rolls/buns
3028,04/01/14,butter
4866,29/06/14,soda
4943,01/05/14,other vegetables
1636,08/08/14,liquor (appetizer)
3593,21/09/14,rolls/buns
2835,23/07/14,cream cheese 
1383,24/03/14,whipped/sour cream
2545,26/05/14,whole milk
4719,28/09/14,coffee
2065,20/07/14,pastry
2941,13/06/14,beverages
4430,21/05/14,cream cheese 
4019,18/05/14,bottled water
1407,10/09/14,domestic eggs
2960,03/09/14,canned beer
1343,07/02/14,other vegetables
4715,31/01/14,softener
3174,10/11/14,butter milk
1623,07/12/14,rolls/buns
2506,27/02/14,chocolate
4799,01/04/14,frozen fish
2360,09/07/14,napkins
4822,21/08/14,coffee
1554,04/02/14,curd
1867,18/03/14,frozen vegetables
2148,20/11/14,domestic eggs
3863,19/07/14,whipped/sour cream
1010,23/08/14,specialty bar
2768,05/05/14,baking powder
2218,06/11/14,pot plants
3785,16/08/14,frozen fish
4823,05/01/14,frozen meals
1475,05/03/14,kitchen towels
1052,15/01/14,grapes
2565,16/09/14,jam
4259,23/07/14,yogurt
1061,31/07/14,hard cheese
4001,11/06/14,soda
1620,21/07/14,cream cheese 
3458,27/06/14,mustard
2178,11/10/14,male cosmetics
1995,14/06/14,yogurt
2161,24/09/14,margarine
3349,12/07/14,herbs
3742,26/09/14,shopping bags
1244,24/11/14,soda
3609,13/05/14,rolls/buns
2375,31/03/14,dog food
2974,24/05/14,frozen vegetables
3030,06/12/14,whole milk
3737,22/12/14,other vegetables
3619,15/03/14,dessert
3705,28/02/14,herbs
3974,25/08/14,bottled water
1798,06/10/14,hamburger meat
3272,18/04/14,canned beer
2666,26/05/14,chocolate
2717,02/01/14,fruit/vegetable juice
1095,25/03/14,shopping bags
1480,22/12/14,bottled water
2865,23/09/14,processed cheese
1482,22/10/14,brown bread
3184,20/04/14,berries
1468,21/08/14,salty snack
4077,25/12/14,sauces
3888,16/10/14,butter
3972,07/04/14,butter
2967,27/05/14,oil
3380,16/08/14,other vegetables
2207,03/12/14,coffee
3600,08/04/14,pickled vegetables
4618,09/07/14,sliced cheese
2680,16/03/14,frozen meals
1651,23/03/14,dishes
2934,22/03/14,fruit/vegetable juice
2860,15/09/14,waffles
1307,01/11/14,rolls/buns
4628,15/12/14,UHT-milk
1240,27/11/14,shopping bags
3666,14/06/14,bottled water
4008,14/10/14,shopping bags
3386,07/08/14,baking powder
2472,19/06/14,sugar
1323,18/06/14,whole milk
1654,08/09/14,butter
3620,17/05/14,berries
4952,03/09/14,specialty chocolate
3966,07/01/14,canned beer
1964,23/03/14,other vegetables
2504,16/12/14,waffles
4500,04/02/14,cat food
1454,03/05/14,fruit/vegetable juice
1066,01/02/14,bottled beer
3692,09/01/14,salty snack
2445,17/04/14,pastry
1860,31/01/14,rolls/buns
1153,19/08/14,cake bar
3317,10/08/14,soda
1957,20/03/14,berries
4303,28/11/14,specialty bar
3556,04/10/14,brown bread
1282,04/05/14,shopping bags
4034,29/08/14,specialty bar
2807,17/07/14,beverages
2232,25/01/14,dessert
2303,12/06/14,hair spray
2050,20/10/14,rolls/buns
3381,05/12/14,coffee
3402,17/05/14,coffee
3072,12/11/14,dessert
3381,30/10/14,hygiene articles
1367,31/01/14,bottled beer
1895,23/01/14,whipped/sour cream
3267,14/11/14,soda
4192,17/02/14,canned beer
2274,04/12/14,curd
4430,03/10/14,whipped/sour cream
4329,23/10/14,dessert
1922,30/05/14,whipped/sour cream
2154,14/08/14,onions
4523,06/08/14,canned beer
1136,02/05/14,flower (seeds)
3439,27/04/14,soda
2980,27/11/14,shopping bags
2509,17/08/14,other vegetables
4845,10/07/14,fruit/vegetable juice
3589,24/07/14,fruit/vegetable juice
4505,18/01/14,other vegetables
2744,06/05/14,frozen vegetables
4236,04/03/14,curd
3928,07/08/14,shopping bags
1207,28/04/14,pickled vegetables
2578,19/04/14,rolls/buns
1553,09/05/14,soda
3942,01/01/14,yogurt
1583,27/11/14,dessert
2133,24/05/14,cat food
4860,14/11/14,newspapers
4548,09/10/14,onions
2610,01/01/14,bottled beer
2344,22/02/14,napkins
2920,12/05/14,rolls/buns
3847,14/03/14,domestic eggs
1991,31/10/14,butter
2241,17/02/14,frozen vegetables
2794,18/02/14,whole milk
3871,05/10/14,salty snack
4085,15/04/14,potato products
3964,11/03/14,bottled water
1111,24/10/14,flour
1294,14/08/14,soda
1338,11/08/14,whole milk
1079,07/10/14,bottled water
1794,14/04/14,yogurt
4715,10/11/14,margarine
4694,01/06/14,whipped/sour cream
4156,19/08/14,candles
4264,16/03/14,butter milk
1732,03/04/14,canned beer
1161,26/01/14,newspapers
4058,07/02/14,flour
4183,08/10/14,ice cream
4371,29/03/14,canned beer
3218,06/01/14,dishes
3094,02/07/14,brown bread
2082,10/10/14,butter
3015,31/01/14,bottled water
4582,22/06/14,newspapers
4851,20/05/14,spread cheese
3766,20/02/14,nuts/prunes
4199,05/04/14,specialty cheese
3663,28/08/14,margarine
2044,17/03/14,butter
1566,30/01/14,waffles
3698,22/09/14,whole milk
3815,30/01/14,margarine
4634,10/05/14,oil
2051,03/12/14,other vegetables
2252,17/12/14,spices
4502,04/06/14,sugar
2169,25/06/14,pickled vegetables
3237,07/08/14,rolls/buns
1999,31/05/14,butter
2175,02/11/14,whipped/sour cream
4177,05/02/14,fruit/vegetable juice
2014,08/08/14,white bread
2991,22/04/14,specialty cheese
3334,09/01/14,white wine
1580,24/02/14,mustard
4094,14/07/14,other vegetables
4163,05/11/14,sugar
2991,01/03/14,soda
4744,23/12/14,yogurt
3896,02/04/14,spread cheese
2560,19/04/14,yogurt
2236,07/01/14,soda
2778,29/06/14,soda
3960,14/05/14,whipped/sour cream
2258,21/01/14,butter
4286,22/11/14,canned beer
2239,23/11/14,other vegetables
4728,11/06/14,soda
3439,28/03/14,newspapers
3353,13/07/14,UHT-milk
2127,19/11/14,margarine
1513,29/05/14,sparkling wine
1134,11/05/14,brown bread
1286,26/04/14,domestic eggs
1123,09/08/14,oil
4327,05/08/14,soda
4814,01/12/14,bottled beer
3277,28/08/14,yogurt
4272,06/05/14,whole milk
3363,06/08/14,rolls/buns
1896,16/12/14,dish cleaner
2524,13/10/14,semi-finished bread
4243,02/07/14,chocolate
4930,13/08/14,other vegetables
3465,27/01/14,shopping bags
3938,16/08/14,bottled water
2849,11/02/14,herbs
1894,19/08/14,waffles
2738,11/02/14,pot plants
1000,24/06/14,pastry
2626,14/02/14,yogurt
4216,17/11/14,whole milk
1810,09/06/14,bottled water
1125,30/05/14,margarine
4392,10/07/14,specialty bar
3957,19/07/14,root vegetables
4084,28/09/14,cream cheese 
3672,19/06/14,UHT-milk
3531,18/03/14,pastry
2066,05/02/14,flour
4376,23/07/14,domestic eggs
1662,27/01/14,sugar
3728,17/06/14,other vegetables
2045,02/04/14,other vegetables
2067,05/04/14,bottled water
3743,16/10/14,curd
1735,22/04/14,rolls/buns
1547,07/07/14,whole milk
2451,26/02/14,hard cheese
1661,02/03/14,salty snack
2365,29/11/14,waffles
4932,14/05/14,soda
2310,31/10/14,instant coffee
2138,03/11/14,yogurt
2903,08/05/14,other vegetables
1512,03/06/14,rolls/buns
3204,16/12/14,popcorn
3324,10/11/14,chewing gum
1653,29/05/14,long life bakery product
1428,23/08/14,soda
4598,05/11/14,yogurt
4233,18/08/14,cleaner
4130,24/10/14,yogurt
3537,21/06/14,cream cheese 
3475,23/12/14,yogurt
2799,24/09/14,cat food
1188,21/11/14,bottled beer
1747,17/09/14,whipped/sour cream
4782,17/04/14,rolls/buns
1609,21/12/14,sugar
1077,07/10/14,butter
1190,24/04/14,bottled beer
2746,13/02/14,curd
2556,11/11/14,specialty bar
2351,18/09/14,domestic eggs
3570,14/09/14,oil
2550,24/12/14,whole milk
2031,20/03/14,bottled water
2160,28/06/14,specialty chocolate
1420,25/03/14,cat food
2960,28/11/14,dishes
3334,27/03/14,vinegar
3840,31/10/14,herbs
3516,18/01/14,rolls/buns
3435,30/07/14,rice
2428,01/04/14,soda
3639,23/07/14,yogurt
4173,14/02/14,whipped/sour cream
4275,03/04/14,dishes
2320,22/04/14,flour
2522,08/08/14,hard cheese
2399,18/08/14,pastry
4097,20/06/14,ice cream
1517,11/09/14,hygiene articles
4187,16/04/14,pastry
2553,16/08/14,flower soil/fertilizer
4164,27/03/14,whole milk
3123,17/10/14,bottled beer
1466,13/07/14,candy
4105,26/10/14,onions
3530,21/03/14,specialty chocolate
2960,11/03/14,shopping bags
2676,06/10/14,soda
4318,28/08/14,butter milk
2956,07/08/14,yogurt
1360,17/06/14,processed cheese
2285,06/07/14,UHT-milk
4117,12/07/14,liquor
3009,27/01/14,semi-finished bread
1069,20/05/14,fruit/vegetable juice
1194,27/02/14,napkins
4406,21/03/14,ice cream
2028,02/05/14,flower (seeds)
1500,01/04/14,fruit/vegetable juice
2617,27/05/14,frozen vegetables
2545,11/10/14,domestic eggs
3356,21/02/14,frozen vegetables
3557,06/05/14,brown bread
1311,14/01/14,rolls/buns
4803,16/01/14,pickled vegetables
3685,20/07/14,soda
4206,04/04/14,root vegetables
1457,15/04/14,hard cheese
4610,18/11/14,candy
2802,14/09/14,condensed milk
3232,09/07/14,red/blush wine
1623,12/01/14,soda
2029,27/05/14,bottled water
2180,18/12/14,butter
4654,03/08/14,shopping bags
3462,16/12/14,specialty cheese
2279,11/04/14,salty snack
2027,09/10/14,cling film/bags
2667,22/10/14,domestic eggs
1379,27/02/14,fruit/vegetable juice
4025,10/04/14,yogurt
2958,27/04/14,softener
4349,22/11/14,brown bread
2850,27/02/14,rolls/buns
2306,26/02/14,shopping bags
4941,08/02/14,pasta
1788,19/09/14,brown bread
2398,18/06/14,rolls/buns
4046,31/03/14,shopping bags
3976,25/10/14,pasta
1905,22/04/14,cream cheese 
4897,23/03/14,frozen potato products
2237,01/01/14,Instant food products
3649,30/05/14,soda
1699,25/01/14,hygiene articles
1504,14/10/14,whole milk
4488,26/04/14,soda
1082,20/03/14,hygiene articles
1966,20/09/14,white bread
2169,05/02/14,long life bakery product
1711,15/12/14,yogurt
1827,30/09/14,curd
4389,07/10/14,brown bread
2625,06/09/14,yogurt
3984,02/09/14,soft cheese
4709,24/05/14,other vegetables
3115,30/01/14,other vegetables
4319,10/03/14,shopping bags
2183,29/12/14,yogurt
2338,22/09/14,canned beer
2156,08/05/14,domestic eggs
2298,28/08/14,yogurt
4472,11/10/14,Instant food products
4835,05/12/14,margarine
3581,09/06/14,rolls/buns
4682,21/04/14,toilet cleaner
2149,13/07/14,bathroom cleaner
2990,16/07/14,kitchen towels
2439,28/05/14,dog food
4406,11/07/14,soda
2463,06/12/14,soda
4047,04/04/14,shopping bags
1343,07/02/14,whole milk
2628,02/12/14,candy
3467,08/11/14,citrus fruit
3320,21/01/14,rolls/buns
3126,02/12/14,whole milk
4991,19/05/14,shopping bags
4317,28/01/14,ice cream
3332,21/09/14,domestic eggs
4487,14/06/14,cat food
1864,03/01/14,butter
2812,28/08/14,whipped/sour cream
1561,19/01/14,cream cheese 
2555,26/04/14,brown bread
3517,21/09/14,domestic eggs
4972,30/07/14,liquor
4081,11/01/14,domestic eggs
4336,28/11/14,chocolate
4193,14/06/14,shopping bags
1944,10/08/14,cake bar
1086,27/07/14,soda
4518,31/08/14,yogurt
1362,03/01/14,mustard
1297,06/07/14,house keeping products
4809,13/07/14,sugar
3720,09/08/14,margarine
4946,24/06/14,other vegetables
1399,10/12/14,canned vegetables
3548,15/06/14,shopping bags
2791,21/11/14,photo/film
3541,21/02/14,pickled vegetables
2694,09/05/14,pastry
4449,11/12/14,salty snack
2288,05/12/14,sliced cheese
1426,20/03/14,yogurt
4126,22/04/14,brown bread
2960,14/11/14,berries
3921,18/06/14,cream cheese 
3931,26/10/14,long life bakery product
3183,10/12/14,grapes
4172,16/02/14,whipped/sour cream
1767,18/12/14,shopping bags
4665,03/12/14,cat food
3386,18/03/14,pasta
3731,29/06/14,brown bread
1478,26/12/14,cream cheese 
3306,21/07/14,yogurt
1204,23/06/14,pastry
1611,18/03/14,yogurt
4555,19/12/14,brown bread
1612,25/12/14,ice cream
2217,14/09/14,long life bakery product
1869,20/12/14,misc. beverages
3384,13/11/14,soda
4875,05/06/14,chocolate
3157,10/07/14,Instant food products
2973,21/10/14,waffles
3007,01/04/14,yogurt
1230,16/03/14,sliced cheese
1522,30/01/14,margarine
3714,15/02/14,domestic eggs
2110,22/11/14,newspapers
3051,25/05/14,salty snack
3790,24/04/14,yogurt
3851,11/08/14,chocolate
4498,22/07/14,frozen meals
1182,30/09/14,red/blush wine
2694,21/02/14,hard cheese
4099,23/05/14,Instant food products
2229,24/07/14,pastry
2618,12/01/14,salty snack
4902,30/05/14,butter
1746,23/10/14,cream cheese 
2424,28/09/14,pickled vegetables
2922,23/02/14,photo/film
4030,29/05/14,margarine
3107,27/02/14,rolls/buns
1996,22/09/14,soda
3613,25/01/14,shopping bags
2423,31/07/14,ice cream
4384,06/09/14,UHT-milk
2856,24/12/14,sparkling wine
1437,15/03/14,domestic eggs
4116,23/05/14,pastry
2143,17/12/14,frozen vegetables
4013,23/12/14,popcorn
2011,14/08/14,soda
3011,27/06/14,frozen vegetables
4259,16/12/14,ice cream
3750,30/09/14,yogurt
3633,12/07/14,shopping bags
4544,08/12/14,pot plants
2314,09/02/14,candy
2287,27/10/14,chocolate
2166,04/05/14,red/blush wine
1162,20/08/14,salty snack
4215,03/04/14,liquor (appetizer)
4666,01/02/14,dessert
3790,09/06/14,yogurt
3650,23/12/14,frozen vegetables
3309,30/01/14,domestic eggs
1501,28/08/14,butter
4580,12/10/14,coffee
4942,01/01/14,frozen vegetables
1169,04/01/14,bottled water
1217,21/07/14,sugar
4750,03/05/14,brown bread
4870,01/07/14,bottled water
4194,21/07/14,whole milk
3629,22/11/14,rolls/buns
1143,14/07/14,soda
2600,12/07/14,berries
4432,01/09/14,butter
1147,01/05/14,whole milk
4508,29/11/14,white bread
3130,01/02/14,yogurt
3181,17/07/14,butter milk
3830,14/11/14,coffee
3153,14/04/14,frozen vegetables
3656,20/01/14,dental care
1930,07/07/14,UHT-milk
2761,19/08/14,margarine
4443,10/11/14,whole milk
3976,13/03/14,onions
2671,04/06/14,salty snack
3189,31/08/14,whole milk
1850,12/03/14,margarine
1899,01/03/14,brown bread
2570,25/02/14,roll products 
3805,18/09/14,specialty fat
1580,20/02/14,domestic eggs
3474,19/01/14,curd
2758,27/12/14,long life bakery product
1996,09/06/14,yogurt
2426,26/09/14,whipped/sour cream
4898,10/09/14,margarine
1187,09/11/14,domestic eggs
2056,14/05/14,canned vegetables
4923,26/12/14,domestic eggs
4321,14/01/14,soda
2924,14/11/14,frozen dessert
2029,26/08/14,whole milk
2402,16/04/14,yogurt
3137,18/10/14,coffee
3115,16/09/14,white bread
1628,20/06/14,cream cheese 
1930,28/05/14,soda
2751,13/10/14,bottled water
1753,26/02/14,canned fish
3323,08/02/14,brown bread
3267,30/03/14,herbs
1069,20/01/14,rolls/buns
2164,31/01/14,curd cheese
3660,28/07/14,pastry
2129,05/09/14,condensed milk
1836,23/10/14,margarine
4007,09/12/14,specialty chocolate
1715,25/02/14,specialty chocolate
1225,03/10/14,jam
4492,15/05/14,yogurt
4197,05/04/14,long life bakery product
4878,13/09/14,whipped/sour cream
3574,20/02/14,domestic eggs
4259,11/12/14,newspapers
2131,12/12/14,bottled water
1308,23/11/14,whole milk
3089,24/02/14,rolls/buns
3695,21/03/14,margarine
1574,15/01/14,flour
3643,21/08/14,kitchen towels
4900,01/10/14,root vegetables
4603,18/06/14,popcorn
4088,18/02/14,oil
2155,11/11/14,salad dressing
1050,06/03/14,yogurt
2144,02/10/14,curd
4308,07/01/14,whole milk
4741,28/02/14,waffles
2550,12/07/14,canned beer
1797,08/10/14,sugar
4235,21/03/14,curd
1680,09/09/14,beverages
3348,14/05/14,brown bread
2835,10/05/14,whole milk
1391,19/12/14,processed cheese
1086,10/12/14,whipped/sour cream
2705,20/12/14,sweet spreads
2803,20/02/14,margarine
2045,09/07/14,whole milk
4270,16/03/14,brown bread
1817,02/09/14,whipped/sour cream
4756,09/05/14,curd
4125,03/06/14,rolls/buns
4014,01/02/14,shopping bags
1500,26/09/14,shopping bags
3855,15/07/14,yogurt
2037,05/05/14,curd
4907,01/02/14,whipped/sour cream
2055,14/12/14,soda
1133,21/03/14,shopping bags
3099,16/12/14,butter milk
4261,13/06/14,fruit/vegetable juice
2276,25/07/14,whipped/sour cream
2584,02/04/14,curd
1544,01/05/14,semi-finished bread
4416,03/09/14,margarine
3727,02/05/14,cat food
1059,14/06/14,salty snack
1999,30/04/14,frozen vegetables
2584,19/06/14,curd
3528,07/09/14,liquor (appetizer)
3782,25/04/14,tropical fruit
4453,20/03/14,whole milk
1881,15/02/14,bottled water
4122,20/10/14,nut snack
4874,21/02/14,bottled water
1410,07/02/14,mustard
3357,19/05/14,long life bakery product
1554,27/10/14,canned fish
1652,05/05/14,yogurt
4251,01/07/14,ice cream
4316,03/05/14,soda
1491,04/08/14,soft cheese
1522,11/10/14,long life bakery product
1927,20/06/14,mayonnaise
3668,24/10/14,whole milk
4385,05/08/14,bottled water
3005,26/11/14,newspapers
2132,24/01/14,waffles
2484,16/07/14,whipped/sour cream
2264,22/07/14,canned beer
3045,16/08/14,chocolate
4297,30/05/14,rolls/buns
1050,30/05/14,yogurt
3718,07/07/14,bottled water
1423,13/10/14,mustard
1071,26/09/14,roll products 
1399,05/04/14,other vegetables
2892,19/08/14,pastry
2396,19/08/14,tropical fruit
3663,02/01/14,frozen vegetables
4139,25/03/14,domestic eggs
4044,08/07/14,cream cheese 
3639,20/01/14,whipped/sour cream
1753,03/10/14,whole milk
1835,08/07/14,detergent
1783,14/02/14,yogurt
3863,01/09/14,frozen dessert
1229,03/09/14,white bread
2470,01/05/14,white bread
1828,06/01/14,spread cheese
3360,12/04/14,hamburger meat
4690,06/03/14,softener
4814,08/01/14,whole milk
3099,10/02/14,butter
3961,23/06/14,bottled water
1948,02/11/14,hamburger meat
4414,15/10/14,shopping bags
2906,13/11/14,brown bread
2017,07/10/14,coffee
2086,18/06/14,liquor
3082,10/11/14,frozen dessert
4574,01/05/14,other vegetables
3696,05/04/14,roll products 
1653,23/04/14,pastry
2930,03/04/14,fruit/vegetable juice
3602,07/10/14,butter
1103,28/07/14,hygiene articles
3223,06/08/14,pork
4788,09/09/14,whole milk
3358,22/10/14,hard cheese
4133,02/02/14,yogurt
4160,10/07/14,specialty cheese
2080,23/07/14,specialty vegetables
1877,22/06/14,butter
2243,01/10/14,tropical fruit
2738,16/01/14,pastry
3869,12/08/14,white bread
2924,26/05/14,sliced cheese
4613,04/10/14,butter
3421,18/10/14,waffles
4764,28/08/14,domestic eggs
4800,27/10/14,cake bar
1288,20/08/14,packaged fruit/vegetables
2194,06/06/14,whole milk
2072,12/08/14,chocolate
2950,03/02/14,soda
1681,06/07/14,popcorn
3957,20/07/14,curd
1004,13/10/14,chocolate
4048,12/04/14,fruit/vegetable juice
2309,17/04/14,yogurt
3238,06/02/14,canned beer
3613,20/10/14,bottled water
1716,11/08/14,fruit/vegetable juice
3669,25/06/14,processed cheese
4806,13/09/14,brown bread
1434,13/11/14,margarine
3977,01/02/14,butter milk
4086,14/01/14,semi-finished bread
3357,22/06/14,newspapers
2159,08/10/14,pot plants
2984,25/09/14,cake bar
1351,15/01/14,detergent
1359,29/05/14,frozen fish
3636,10/08/14,brown bread
3783,11/04/14,white bread
2807,02/06/14,newspapers
3960,15/02/14,whipped/sour cream
4233,23/06/14,roll products 
3683,05/10/14,newspapers
4838,07/09/14,frozen vegetables
2779,21/01/14,whipped/sour cream
4297,02/03/14,fruit/vegetable juice
1258,09/08/14,fruit/vegetable juice
2755,25/11/14,frozen vegetables
2340,17/01/14,yogurt
1690,09/05/14,whipped/sour cream
2592,08/09/14,grapes
2952,12/01/14,whipped/sour cream
3246,25/12/14,root vegetables
1900,15/03/14,vinegar
3414,22/05/14,whole milk
1153,10/08/14,whole milk
1751,04/09/14,herbs
2499,01/11/14,beverages
2355,19/02/14,domestic eggs
3660,21/09/14,rolls/buns
2760,20/06/14,long life bakery product
1028,24/04/14,baking powder
4657,03/04/14,margarine
1569,09/03/14,bottled beer
3737,06/07/14,bottled water
3462,01/10/14,other vegetables
2921,18/11/14,frozen vegetables
1111,03/03/14,frozen vegetables
1261,06/10/14,domestic eggs
1572,31/03/14,berries
