Member_number,Date,itemDescription
3153,24/06/14,newspapers
3266,16/07/14,bottled beer
1143,14/11/14,pork
2151,11/04/14,tropical fruit
1734,17/08/14,other vegetables
1170,22/05/14,whole milk
2457,29/08/14,other vegetables
3621,18/05/14,other vegetables
2627,18/02/14,beverages
4154,16/12/14,beef
2996,30/08/14,whipped/sour cream
4284,18/06/14,whole milk
2584,11/03/14,hard cheese
2195,24/04/14,misc. beverages
1789,10/09/14,whole milk
4453,26/01/14,hamburger meat
3615,21/04/14,chicken
3826,27/04/14,coffee
1028,05/04/14,rolls/buns
2871,21/09/14,root vegetables
2674,19/05/14,chicken
3708,17/07/14,whole milk
3194,02/02/14,tropical fruit
2111,30/05/14,other vegetables
3828,24/02/14,citrus fruit
1031,04/03/14,ice cream
3407,11/09/14,onions
3226,15/09/14,fish
1198,29/07/14,frozen fish
4032,18/07/14,root vegetables
1687,21/05/14,domestic eggs
2533,30/10/14,ham
2396,27/07/14,canned fish
4209,18/03/14,newspapers
2982,15/06/14,rolls/buns
2457,13/12/14,fruit/vegetable juice
1921,27/03/14,sliced cheese
1201,24/10/14,candles
3140,25/09/14,whole milk
2576,25/12/14,meat
3390,30/11/14,newspapers
2016,18/09/14,pip fruit
3004,04/09/14,domestic eggs
3087,10/04/14,margarine
3866,20/04/14,finished products
4013,04/08/14,canned beer
1195,14/08/14,butter
2849,30/06/14,sausage
4604,19/12/14,specialty chocolate
1114,14/12/14,root vegetables
2698,14/10/14,whole milk
1074,04/02/14,semi-finished bread
2188,08/10/14,whole milk
2946,19/11/14,citrus fruit
2337,25/02/14,root vegetables
2064,06/04/14,salad dressing
4714,20/06/14,misc. beverages
1515,09/03/14,root vegetables
2093,03/05/14,tropical fruit
2215,06/05/14,rolls/buns
4321,13/08/14,grapes
1700,05/11/14,pip fruit
2705,25/07/14,whole milk
1904,24/04/14,newspapers
1915,03/04/14,brown bread
3248,16/10/14,tropical fruit
4785,30/04/14,shopping bags
4217,30/08/14,cling film/bags
3426,17/08/14,root vegetables
4130,01/08/14,semi-finished bread
3569,10/08/14,chewing gum
1005,23/01/14,whipped/sour cream
1945,05/11/14,yogurt
1109,31/10/14,pip fruit
3176,09/06/14,whole milk
2394,05/06/14,whole milk
1969,28/08/14,other vegetables
3643,08/07/14,root vegetables
4656,18/10/14,curd
1655,21/06/14,brown bread
3679,25/05/14,rolls/buns
3735,13/07/14,bottled beer
4828,30/11/14,root vegetables
4756,05/07/14,beef
4859,07/06/14,other vegetables
4342,15/05/14,pip fruit
3552,24/02/14,butter
3373,09/05/14,bottled water
2057,16/04/14,tropical fruit
4324,20/09/14,bottled water
1165,02/05/14,frozen vegetables
2939,22/10/14,tropical fruit
4900,04/05/14,chicken
4206,14/01/14,rolls/buns
2662,03/02/14,root vegetables
1107,14/06/14,onions
2543,27/05/14,root vegetables
2111,07/12/14,tropical fruit
4492,25/11/14,butter milk
2037,13/04/14,beef
3973,28/06/14,other vegetables
3947,13/05/14,pip fruit
3662,26/08/14,other vegetables
1495,08/01/14,meat
3403,16/04/14,curd
3580,17/03/14,whole milk
4025,03/05/14,other vegetables
4915,08/12/14,dessert
2105,02/12/14,curd
3403,26/02/14,canned beer
4159,29/05/14,other vegetables
1741,10/12/14,fruit/vegetable juice
3417,02/09/14,rolls/buns
3895,14/06/14,curd
1014,04/09/14,hamburger meat
1998,10/11/14,root vegetables
3462,11/10/14,rolls/buns
3584,29/05/14,whipped/sour cream
4927,13/04/14,root vegetables
1908,28/03/14,pip fruit
1139,15/01/14,tropical fruit
3168,19/03/14,butter milk
4373,07/07/14,pork
4244,20/09/14,whole milk
4661,09/06/14,whole milk
3305,06/03/14,soda
1408,09/01/14,hamburger meat
2242,04/02/14,chicken
4160,25/04/14,bottled beer
2129,05/01/14,berries
3518,06/02/14,finished products
2794,13/07/14,whole milk
3666,15/10/14,whole milk
3094,13/07/14,soda
3730,03/02/14,pork
4612,08/09/14,butter
2897,26/04/14,whole milk
4132,20/09/14,other vegetables
4721,24/06/14,rolls/buns
3113,26/12/14,cream cheese 
1772,09/04/14,rolls/buns
4470,08/02/14,brown bread
3737,30/12/14,whole milk
4171,07/01/14,whole milk
1300,04/09/14,chicken
4822,03/01/14,ice cream
3458,29/04/14,sausage
3912,08/11/14,soda
2716,16/01/14,rolls/buns
4244,17/04/14,other vegetables
3009,13/11/14,canned beer
2406,12/03/14,root vegetables
2185,25/05/14,citrus fruit
1575,27/06/14,white bread
2986,03/11/14,whole milk
1676,29/03/14,root vegetables
2621,26/06/14,root vegetables
2709,01/01/14,yogurt
2706,10/10/14,whole milk
1144,08/04/14,root vegetables
1869,15/03/14,tropical fruit
3067,27/02/14,meat
1297,04/03/14,herbs
4747,02/04/14,pip fruit
3346,11/08/14,beef
1556,31/05/14,herbs
3671,16/04/14,whole milk
2648,22/05/14,soda
4622,30/05/14,citrus fruit
2855,07/11/14,rolls/buns
4494,27/01/14,root vegetables
4575,08/04/14,whole milk
4770,17/02/14,chicken
2294,25/09/14,whole milk
2449,06/09/14,butter
2411,21/04/14,chicken
2257,27/06/14,hamburger meat
2271,07/08/14,root vegetables
4101,05/08/14,hamburger meat
4564,29/01/14,shopping bags
2886,14/02/14,curd
2511,12/07/14,pip fruit
4933,30/07/14,mayonnaise
1190,27/10/14,canned beer
4364,07/06/14,whole milk
3918,14/12/14,butter
4749,30/10/14,tropical fruit
3919,15/02/14,berries
1148,01/11/14,soda
4219,14/05/14,long life bakery product
2241,02/08/14,pet care
4915,09/01/14,bottled water
2632,08/03/14,rolls/buns
2847,05/01/14,rolls/buns
3937,02/10/14,rolls/buns
4416,25/02/14,other vegetables
2084,11/10/14,beverages
3604,12/08/14,pip fruit
4463,03/05/14,beef
3950,11/12/14,napkins
3540,23/02/14,salt
4077,29/09/14,hamburger meat
4144,12/05/14,berries
3576,15/05/14,pot plants
3209,08/04/14,other vegetables
1011,02/06/14,curd cheese
2760,19/04/14,long life bakery product
3967,10/10/14,root vegetables
3668,23/02/14,pip fruit
3258,24/09/14,flower (seeds)
4336,12/10/14,newspapers
4632,03/02/14,turkey
1676,11/11/14,other vegetables
4566,16/09/14,tropical fruit
4730,26/09/14,whole milk
4274,22/05/14,chicken
2860,26/10/14,beef
4316,17/08/14,citrus fruit
3915,11/06/14,other vegetables
2059,17/02/14,tropical fruit
1694,27/07/14,rolls/buns
4941,24/02/14,white wine
3840,17/05/14,soda
3282,12/05/14,yogurt
4272,23/06/14,other vegetables
1821,13/01/14,coffee
1524,06/02/14,whipped/sour cream
3849,02/07/14,berries
2964,04/02/14,candy
1506,23/10/14,long life bakery product
1682,09/09/14,other vegetables
3458,23/12/14,other vegetables
1248,01/02/14,chicken
4330,13/05/14,beef
4493,05/05/14,other vegetables
3222,03/12/14,other vegetables
1567,13/08/14,onions
2866,16/04/14,curd
3749,07/09/14,organic sausage
2034,22/12/14,meat
3789,13/01/14,bottled water
2514,03/01/14,soda
3315,21/01/14,frozen meals
4951,27/10/14,root vegetables
2908,28/03/14,organic sausage
3439,06/12/14,white bread
2661,05/12/14,other vegetables
3609,12/08/14,soda
1165,01/04/14,beef
1212,03/06/14,tropical fruit
1921,11/06/14,root vegetables
3203,04/04/14,pastry
4984,07/06/14,pastry
4254,25/12/14,shopping bags
3584,03/07/14,meat
4008,18/12/14,tropical fruit
2512,28/09/14,whole milk
1034,13/05/14,tropical fruit
2174,31/07/14,other vegetables
4667,31/08/14,soda
1908,21/08/14,pip fruit
2781,04/10/14,newspapers
4073,30/01/14,UHT-milk
2193,11/09/14,pip fruit
1980,21/11/14,white bread
4226,27/11/14,chocolate
1508,25/04/14,brown bread
4187,19/04/14,pip fruit
1793,14/12/14,frozen vegetables
3160,14/01/14,red/blush wine
3186,11/12/14,hard cheese
3268,04/05/14,root vegetables
4084,28/11/14,tidbits
3854,27/12/14,coffee
2801,17/07/14,sausage
3283,31/08/14,packaged fruit/vegetables
2549,28/06/14,beef
4707,10/06/14,whole milk
3828,16/05/14,whole milk
2946,29/09/14,canned vegetables
2156,15/02/14,soda
2215,15/09/14,whole milk
4666,26/11/14,bottled beer
3428,05/03/14,other vegetables
4736,25/04/14,pastry
1726,14/03/14,bottled beer
3731,02/11/14,hard cheese
2869,08/11/14,cream cheese 
3632,11/06/14,oil
3069,04/04/14,canned beer
4180,02/08/14,bottled beer
2743,26/02/14,tropical fruit
4966,30/12/14,soda
4914,15/04/14,root vegetables
2100,13/05/14,condensed milk
4045,11/02/14,pastry
4594,13/07/14,onions
3237,04/08/14,other vegetables
2515,22/10/14,other vegetables
2825,06/05/14,photo/film
1095,06/08/14,pickled vegetables
2877,13/06/14,frozen meals
3851,06/05/14,other vegetables
2552,19/02/14,other vegetables
4550,20/11/14,sausage
3797,01/01/14,waffles
4630,29/06/14,grapes
1946,08/03/14,whole milk
1803,24/09/14,soft cheese
1504,24/12/14,root vegetables
4320,17/02/14,whole milk
3384,08/03/14,dessert
2256,02/08/14,beef
2794,23/07/14,yogurt
1389,29/04/14,other vegetables
4573,11/03/14,other vegetables
1698,17/01/14,yogurt
1856,29/01/14,newspapers
1702,26/02/14,other vegetables
2138,18/02/14,pip fruit
4217,20/06/14,pastry
2419,26/07/14,liver loaf
2701,30/04/14,chocolate marshmallow
1061,19/05/14,beef
4671,14/07/14,curd
4370,06/06/14,sausage
2055,07/11/14,brown bread
1646,14/03/14,butter
3511,09/09/14,napkins
3164,16/09/14,dessert
2957,21/12/14,bottled water
4876,25/03/14,whipped/sour cream
1931,25/06/14,other vegetables
1639,21/08/14,long life bakery product
2232,01/10/14,beef
3063,27/07/14,root vegetables
3486,12/09/14,soap
3347,10/01/14,coffee
1294,22/12/14,whipped/sour cream
3982,30/10/14,pip fruit
3903,20/02/14,root vegetables
1434,27/03/14,misc. beverages
3560,21/03/14,root vegetables
2228,25/10/14,yogurt
4190,28/06/14,specialty bar
1391,30/01/14,bottled beer
1243,08/01/14,soda
2594,15/09/14,yogurt
1854,11/03/14,bottled water
2666,23/05/14,bottled beer
1811,07/02/14,other vegetables
2480,01/02/14,citrus fruit
2081,14/02/14,hamburger meat
2342,26/11/14,other vegetables
1990,26/06/14,yogurt
4514,17/07/14,other vegetables
3681,19/05/14,whipped/sour cream
3559,18/12/14,spread cheese
1579,15/06/14,specialty bar
3033,18/09/14,tropical fruit
4699,02/08/14,sauces
3081,23/09/14,brown bread
2336,28/01/14,organic sausage
2132,08/08/14,chicken
4039,18/05/14,hamburger meat
3415,10/06/14,other vegetables
3343,21/02/14,butter milk
4773,06/09/14,jam
4652,20/05/14,baking powder
3717,25/08/14,tropical fruit
2460,17/02/14,bottled water
2069,10/06/14,root vegetables
4978,18/01/14,pork
1778,26/11/14,tropical fruit
3283,30/03/14,whole milk
1816,18/01/14,jam
1655,12/01/14,bottled water
2534,29/03/14,brown bread
2511,24/02/14,whole milk
3184,31/01/14,packaged fruit/vegetables
4455,26/08/14,root vegetables
1768,20/11/14,margarine
3894,10/02/14,specialty vegetables
2225,13/10/14,bottled water
4623,15/10/14,salty snack
4482,18/12/14,jam
1004,10/07/14,other vegetables
3657,04/09/14,meat
1764,24/05/14,UHT-milk
3745,19/10/14,cake bar
4650,17/08/14,rolls/buns
1332,16/07/14,root vegetables
4542,11/10/14,margarine
1620,19/04/14,whole milk
1483,19/10/14,yogurt
4012,10/11/14,canned beer
4305,18/12/14,newspapers
1098,25/02/14,citrus fruit
2782,21/11/14,sugar
4471,05/12/14,whole milk
4113,23/12/14,onions
1365,15/09/14,other vegetables
2957,24/05/14,frozen vegetables
2990,15/08/14,packaged fruit/vegetables
2775,21/07/14,beverages
3626,03/03/14,soda
1282,06/03/14,white bread
2207,08/02/14,dog food
2798,19/03/14,rolls/buns
4479,24/01/14,rolls/buns
2545,03/08/14,pastry
3531,10/07/14,herbs
4683,11/11/14,soda
2475,29/09/14,rolls/buns
2595,03/01/14,rolls/buns
2447,17/05/14,rolls/buns
2857,02/08/14,yogurt
1386,19/09/14,soda
4827,11/08/14,whole milk
3180,02/11/14,other vegetables
3467,07/04/14,citrus fruit
2271,24/09/14,soft cheese
3465,21/04/14,fruit/vegetable juice
4668,25/11/14,long life bakery product
2337,14/10/14,whipped/sour cream
3909,07/11/14,yogurt
4695,17/10/14,rolls/buns
4277,01/09/14,pip fruit
1428,28/05/14,other vegetables
1014,06/10/14,whole milk
2209,16/12/14,root vegetables
1128,26/04/14,liquor
1677,24/08/14,yogurt
3852,26/06/14,margarine
2769,31/10/14,beef
4847,23/05/14,rolls/buns
3321,02/05/14,butter
1053,30/04/14,soda
3393,25/02/14,whole milk
3487,07/09/14,rolls/buns
2087,21/08/14,seasonal products
1848,20/09/14,whole milk
4854,22/10/14,other vegetables
1147,16/11/14,specialty chocolate
3258,21/09/14,berries
3059,13/12/14,spread cheese
2706,30/10/14,sugar
4201,01/09/14,pip fruit
4299,22/08/14,berries
4600,22/11/14,margarine
1179,08/06/14,cereals
4380,09/04/14,packaged fruit/vegetables
2162,24/03/14,whipped/sour cream
3952,03/04/14,butter
4797,01/10/14,white wine
4817,14/10/14,margarine
2948,11/04/14,whole milk
3559,11/12/14,soda
3920,11/01/14,whole milk
2332,27/07/14,soda
3251,26/06/14,whole milk
4178,25/12/14,root vegetables
1597,13/02/14,frozen meals
1472,10/06/14,specialty bar
1879,01/06/14,whole milk
3247,24/09/14,fruit/vegetable juice
1432,18/02/14,cat food
2381,15/11/14,packaged fruit/vegetables
2941,15/04/14,whole milk
3213,07/05/14,whipped/sour cream
4629,24/09/14,whipped/sour cream
4375,01/08/14,chicken
4832,30/01/14,soda
2765,09/02/14,beverages
3292,08/08/14,whole milk
4578,26/04/14,root vegetables
2979,03/11/14,domestic eggs
4738,26/02/14,sausage
1248,24/07/14,dessert
1786,12/06/14,yogurt
2076,13/10/14,bottled beer
2606,11/01/14,whole milk
1320,07/10/14,root vegetables
2017,23/09/14,whole milk
3201,30/03/14,pasta
3480,29/08/14,flour
4227,08/08/14,whipped/sour cream
1299,20/11/14,canned beer
1956,13/01/14,nut snack
1645,26/01/14,hygiene articles
3010,14/02/14,root vegetables
4741,07/08/14,frozen vegetables
4659,26/12/14,sliced cheese
1882,23/08/14,other vegetables
3164,14/02/14,citrus fruit
3112,03/07/14,mustard
3622,03/12/14,margarine
1929,14/02/14,curd
2231,27/03/14,tropical fruit
2164,16/06/14,UHT-milk
4613,02/11/14,packaged fruit/vegetables
3947,08/02/14,photo/film
2345,11/11/14,frozen vegetables
3511,28/08/14,hamburger meat
2645,15/11/14,canned beer
3338,26/05/14,hamburger meat
2440,28/01/14,brown bread
1101,07/09/14,whole milk
2886,12/12/14,tropical fruit
4293,17/04/14,specialty chocolate
1053,23/05/14,whole milk
3856,12/05/14,other vegetables
3812,11/07/14,soda
2301,25/08/14,yogurt
3396,19/01/14,cream cheese 
3604,07/08/14,tropical fruit
2089,10/08/14,bottled beer
3372,25/02/14,pork
3761,12/09/14,snack products
3872,23/08/14,yogurt
4868,10/02/14,root vegetables
2748,02/04/14,misc. beverages
3965,20/03/14,rolls/buns
1132,22/11/14,bottled beer
4298,20/10/14,tropical fruit
4947,24/11/14,rolls/buns
3466,09/12/14,misc. beverages
4601,12/11/14,long life bakery product
2307,25/04/14,fruit/vegetable juice
1182,20/06/14,butter
4473,21/12/14,specialty bar
4529,26/10/14,beef
2388,09/05/14,tropical fruit
4870,30/06/14,onions
1246,02/05/14,yogurt
4904,06/12/14,packaged fruit/vegetables
4085,08/05/14,butter
3024,23/12/14,tropical fruit
1259,20/04/14,whole milk
4110,15/03/14,sausage
4374,19/09/14,hamburger meat
4316,02/01/14,tropical fruit
2779,16/03/14,ice cream
3583,13/09/14,citrus fruit
3938,29/07/14,pip fruit
4319,29/05/14,tropical fruit
3721,18/11/14,citrus fruit
3060,31/07/14,tropical fruit
2365,02/06/14,beef
3094,18/11/14,herbs
4913,06/01/14,onions
2468,11/08/14,yogurt
2726,30/11/14,canned beer
3247,27/09/14,whole milk
4787,18/12/14,rolls/buns
4024,22/11/14,yogurt
1658,03/01/14,citrus fruit
1624,18/08/14,other vegetables
2316,17/02/14,bottled beer
2421,13/02/14,pastry
1947,16/07/14,whole milk
4815,24/01/14,cat food
4360,14/12/14,citrus fruit
3629,02/05/14,grapes
3863,12/09/14,cake bar
4517,26/10/14,bottled water
1145,05/06/14,brown bread
4391,24/10/14,pork
3205,03/06/14,other vegetables
1560,16/05/14,white bread
1602,30/09/14,root vegetables
3084,22/01/14,citrus fruit
2982,05/01/14,coffee
2730,10/11/14,specialty bar
3805,02/01/14,semi-finished bread
4711,21/06/14,whole milk
3344,02/05/14,tropical fruit
3583,09/02/14,root vegetables
4864,27/12/14,meat
4305,17/11/14,soft cheese
4316,05/10/14,beef
2222,31/07/14,sugar
4257,04/06/14,other vegetables
1923,02/06/14,domestic eggs
1139,20/10/14,pork
2862,09/12/14,bottled water
4279,27/01/14,berries
1383,25/08/14,other vegetables
2331,13/10/14,hygiene articles
3673,09/05/14,bottled water
4556,12/10/14,yogurt
3219,21/01/14,shopping bags
1338,03/04/14,meat
4261,28/09/14,other vegetables
4040,27/06/14,yogurt
3582,27/05/14,rolls/buns
1938,21/08/14,tropical fruit
2247,19/11/14,salt
4789,11/02/14,beef
4804,26/11/14,butter milk
3781,06/07/14,tropical fruit
3902,19/06/14,root vegetables
3056,31/03/14,liver loaf
2106,06/09/14,other vegetables
1839,20/03/14,newspapers
4933,03/03/14,meat
3338,18/11/14,soda
3442,11/11/14,citrus fruit
2175,17/03/14,rolls/buns
3808,19/02/14,curd
1951,23/06/14,frozen fish
3010,21/01/14,rolls/buns
1379,04/06/14,whole milk
3246,28/12/14,napkins
4649,05/10/14,rolls/buns
3560,25/11/14,berries
4532,30/11/14,packaged fruit/vegetables
1767,08/11/14,whole milk
2942,31/10/14,butter
1473,01/05/14,hamburger meat
1831,13/12/14,other vegetables
4137,14/09/14,other vegetables
3094,15/12/14,domestic eggs
1404,26/01/14,whole milk
2389,27/01/14,hamburger meat
2349,03/06/14,soda
4746,12/02/14,hygiene articles
3009,27/12/14,brown bread
4736,10/02/14,other vegetables
3133,01/04/14,whipped/sour cream
3150,31/03/14,brown bread
3707,10/12/14,pork
2442,24/02/14,other vegetables
2244,09/11/14,citrus fruit
2680,23/11/14,rolls/buns
3006,20/06/14,other vegetables
4792,16/10/14,bottled water
3716,27/07/14,packaged fruit/vegetables
4847,01/02/14,soda
1497,26/05/14,packaged fruit/vegetables
4235,13/05/14,whole milk
3686,03/03/14,whole milk
3866,19/10/14,root vegetables
1827,27/11/14,other vegetables
2133,27/04/14,tropical fruit
4039,30/04/14,whole milk
1612,25/12/14,citrus fruit
1967,07/10/14,other vegetables
4953,23/10/14,frozen dessert
3893,16/05/14,soda
3217,12/08/14,soda
2712,09/06/14,other vegetables
4525,22/06/14,beef
3665,15/11/14,soda
2708,25/05/14,coffee
3046,28/02/14,onions
3437,19/09/14,butter milk
1954,13/06/14,processed cheese
2781,08/10/14,chicken
1129,18/04/14,flower (seeds)
3400,15/02/14,rolls/buns
2133,08/11/14,tropical fruit
4622,11/09/14,sliced cheese
2796,21/09/14,rolls/buns
4925,04/10/14,rolls/buns
4760,16/12/14,other vegetables
1272,27/07/14,specialty bar
3165,07/05/14,pip fruit
3839,13/09/14,soft cheese
1110,30/05/14,margarine
2744,20/03/14,butter milk
1685,03/06/14,soda
3435,08/11/14,rolls/buns
3316,10/09/14,rolls/buns
3284,01/04/14,canned fish
1896,20/11/14,pip fruit
4538,22/06/14,soda
3072,18/06/14,instant coffee
2102,21/07/14,butter
4685,29/09/14,rolls/buns
3617,28/07/14,brown bread
1013,15/07/14,other vegetables
4616,29/07/14,whole milk
2561,19/04/14,whole milk
2357,25/05/14,bottled beer
3423,11/07/14,bottled water
3259,12/03/14,other vegetables
4764,29/05/14,soap
1548,04/05/14,other vegetables
3209,15/03/14,meat
1562,30/07/14,snack products
3849,15/12/14,root vegetables
4168,03/12/14,turkey
3979,26/02/14,canned fish
1665,20/08/14,curd cheese
1517,03/09/14,root vegetables
4894,05/07/14,whole milk
3058,12/03/14,newspapers
4036,20/06/14,canned beer
3240,31/10/14,canned beer
3784,04/03/14,soda
4290,30/06/14,dessert
3264,27/02/14,brown bread
1092,10/12/14,yogurt
1035,25/06/14,whole milk
1985,06/06/14,butter milk
2569,14/10/14,specialty bar
3237,14/10/14,specialty bar
1966,18/08/14,canned beer
4935,19/03/14,soda
1569,19/01/14,rolls/buns
1964,01/12/14,soda
4743,31/05/14,soda
1353,25/06/14,other vegetables
3808,18/11/14,other vegetables
2944,19/12/14,frozen vegetables
1327,26/09/14,roll products 
3201,28/12/14,whole milk
3263,17/04/14,pasta
4799,28/06/14,other vegetables
3674,26/04/14,shopping bags
2453,05/02/14,newspapers
2274,14/08/14,shopping bags
4705,20/10/14,tropical fruit
1580,11/09/14,salty snack
3509,02/09/14,beef
4999,09/04/14,semi-finished bread
2803,10/08/14,rolls/buns
2448,15/07/14,soda
4823,16/09/14,kitchen towels
3084,27/10/14,rolls/buns
2928,12/12/14,chocolate
2990,31/05/14,cream cheese 
2440,08/07/14,whole milk
1896,13/02/14,soda
1204,13/04/14,soda
4119,24/10/14,cream cheese 
1978,22/02/14,yogurt
1572,03/07/14,rolls/buns
4562,06/11/14,newspapers
1032,26/01/14,whipped/sour cream
4124,31/08/14,sausage
1566,05/11/14,berries
1751,15/02/14,whole milk
4104,04/09/14,other vegetables
2026,14/11/14,misc. beverages
2538,01/03/14,berries
2620,09/05/14,dessert
2489,10/06/14,coffee
4650,07/10/14,whole milk
3525,09/07/14,tropical fruit
3614,20/09/14,napkins
2301,08/11/14,whole milk
2294,14/01/14,whole milk
1152,26/12/14,curd cheese
4887,12/11/14,herbs
1995,29/10/14,pet care
1725,21/09/14,dessert
1258,04/05/14,yogurt
4376,02/05/14,butter
2993,17/11/14,beef
2534,09/02/14,beef
3757,23/10/14,bottled water
3689,09/02/14,long life bakery product
4130,04/03/14,soda
1018,27/05/14,berries
3027,29/04/14,other vegetables
3959,21/05/14,rolls/buns
4453,01/12/14,rolls/buns
3427,11/05/14,beverages
4733,21/08/14,beef
3599,23/12/14,white bread
1190,25/11/14,other vegetables
2298,17/12/14,citrus fruit
2177,02/10/14,female sanitary products
1779,07/06/14,long life bakery product
3721,02/08/14,specialty chocolate
2256,24/11/14,pastry
4671,16/07/14,other vegetables
4299,26/02/14,citrus fruit
4679,08/03/14,pip fruit
2872,04/08/14,whole milk
3517,27/11/14,specialty bar
3194,26/10/14,cake bar
2860,08/07/14,other vegetables
1296,14/12/14,rice
3041,04/07/14,chocolate marshmallow
2690,02/01/14,rolls/buns
4531,17/12/14,chocolate marshmallow
1407,15/07/14,frozen vegetables
2271,16/07/14,chicken
4213,06/11/14,coffee
2743,09/08/14,beef
4879,01/05/14,dessert
3425,05/01/14,citrus fruit
3175,18/11/14,other vegetables
1868,25/02/14,other vegetables
3669,14/10/14,chocolate marshmallow
4623,05/07/14,rolls/buns
3232,01/07/14,dessert
1499,22/02/14,spread cheese
3502,19/05/14,other vegetables
2785,30/12/14,chicken
4762,07/02/14,newspapers
1605,17/08/14,white wine
4786,30/11/14,soda
3786,22/10/14,ice cream
4831,16/08/14,root vegetables
4620,23/06/14,berries
1316,31/05/14,bottled beer
1116,06/03/14,other vegetables
2746,20/05/14,frozen meals
3258,10/04/14,white wine
1193,16/02/14,soda
2602,18/04/14,tropical fruit
1098,19/07/14,tropical fruit
4733,09/11/14,pip fruit
3920,23/02/14,pastry
3255,23/01/14,bottled beer
2713,21/05/14,frozen meals
4068,29/06/14,onions
2369,07/01/14,beef
1547,09/03/14,whole milk
3183,24/09/14,pork
3484,04/07/14,newspapers
3226,22/07/14,meat spreads
4437,03/12/14,whipped/sour cream
1908,12/06/14,whole milk
3678,23/01/14,curd
2076,06/09/14,hygiene articles
2175,26/12/14,chicken
4582,23/04/14,bottled beer
1852,08/09/14,cake bar
2148,25/01/14,soda
3898,25/08/14,beef
4009,19/02/14,frozen vegetables
1527,15/04/14,spices
4269,30/12/14,finished products
1998,14/06/14,citrus fruit
1230,17/12/14,soda
2142,25/10/14,tropical fruit
2897,07/11/14,mustard
3288,20/04/14,bottled water
2155,03/06/14,pip fruit
2049,02/09/14,ham
4663,18/04/14,canned beer
3521,10/10/14,yogurt
4407,06/06/14,misc. beverages
3526,18/05/14,domestic eggs
3005,18/04/14,specialty chocolate
3083,29/03/14,tropical fruit
4046,29/12/14,root vegetables
2332,18/07/14,seasonal products
