Date,Region,Type,Units,Sales
43869,South,Men's Clothing,28,512
43995,East,Children's Clothing,30,336
43871,North,Women's Clothing,31,480
43847,East,Men's Clothing,14,36
43981,North,Women's Clothing,16,99
44041,East,Women's Clothing,34,416
44166,West,Children's Clothing,24,187
44173,East,Women's Clothing,17,126
43860,East,Children's Clothing,18,435
43990,North,Men's Clothing,,437
43892,East,Children's Clothing,31,36
43936,East,Men's Clothing,34,364
44025,East,Men's Clothing,26,598
44130,South,Children's Clothing,30,408
43953,South,Women's Clothing,4,363
44015,East,Women's Clothing,13,341
44003,East,Children's Clothing,32,108
44130,East,Women's Clothing,4,442
43852,East,Women's Clothing,23,308
43883,North,Children's Clothing,3,416
44012,North,Children's Clothing,6,690
44024,South,Women's Clothing,26,729
43985,South,Men's Clothing,23,357
44188,North,Men's Clothing,,476
44071,North,Women's Clothing,20,630
43918,East,Children's Clothing,17,558
44043,East,Men's Clothing,22,252
44182,North,Women's Clothing,26,336
43887,East,Men's Clothing,15,680
44135,South,Children's Clothing,32,504
43967,East,Women's Clothing,24,238
43877,North,Women's Clothing,14,378
44195,West,Women's Clothing,24,704
44119,North,Children's Clothing,11,1023
44131,North,Children's Clothing,16,816
44161,North,Children's Clothing,6,728
44069,North,Men's Clothing,,720
43982,East,Women's Clothing,3,124
44057,East,Women's Clothing,22,390
43932,South,Women's Clothing,30,640
43976,North,Women's Clothing,23,56
43915,East,Women's Clothing,13,713
44116,North,Children's Clothing,25,72
43833,North,Men's Clothing,,78
44084,East,Women's Clothing,15,650
43873,South,Women's Clothing,34,759
44002,East,Women's Clothing,23,1054
44033,North,Women's Clothing,19,280
43905,East,Women's Clothing,27,459
44104,South,Women's Clothing,12,396
44012,South,Children's Clothing,30,572
43906,South,Women's Clothing,22,315
44048,West,Children's Clothing,32,640
44062,South,Women's Clothing,28,696
44087,South,Women's Clothing,29,392
43972,North,Children's Clothing,31,480
44080,North,Children's Clothing,7,121
44071,South,Women's Clothing,7,192
44157,North,Women's Clothing,18,144
44100,East,Women's Clothing,23,264
44040,East,Women's Clothing,21,78
44017,East,Children's Clothing,5,418
44092,East,Men's Clothing,13,810
44016,North,Women's Clothing,11,529
44046,West,Women's Clothing,29,260
44120,East,Children's Clothing,30,475
44040,East,Women's Clothing,20,255
43844,East,Women's Clothing,4,375
43979,South,Women's Clothing,13,1122
43912,North,Women's Clothing,15,575
43869,East,Women's Clothing,33,513
43977,West,Men's Clothing,23,432
43851,West,Men's Clothing,13,192
44139,East,Women's Clothing,25,930
43869,North,Women's Clothing,17,308
43845,East,Women's Clothing,21,768
43959,East,Children's Clothing,29,364
43988,North,Women's Clothing,12,928
43926,North,Children's Clothing,29,775
44096,West,Women's Clothing,28,224
43911,East,Women's Clothing,16,161
44180,East,Children's Clothing,19,450
43939,East,Women's Clothing,6,759
44179,East,Men's Clothing,13,294
44179,East,Children's Clothing,35,125
44105,North,Men's Clothing,,195
43847,East,Children's Clothing,18,220
44034,North,Children's Clothing,34,348
44137,West,Children's Clothing,19,660
44096,North,Women's Clothing,9,520
43892,West,Men's Clothing,32,56
44105,West,Children's Clothing,26,325
44042,East,Women's Clothing,14,180
43928,West,Children's Clothing,22,990
44046,East,Women's Clothing,11,460
44138,South,Men's Clothing,3,351
44099,East,Children's Clothing,18,800
44119,South,Women's Clothing,22,527
44178,North,Men's Clothing,,525
44016,South,Children's Clothing,33,348
43977,North,Women's Clothing,11,336
43917,West,Children's Clothing,7,638
44135,North,Children's Clothing,6,504
43882,East,Children's Clothing,14,400
43968,South,Men's Clothing,24,266
43966,East,Children's Clothing,9,120
43961,East,Women's Clothing,7,260
44058,East,Children's Clothing,27,595
44132,East,Men's Clothing,18,391
43977,East,Men's Clothing,33,486
43977,North,Women's Clothing,10,782
44070,South,Children's Clothing,23,494
44119,South,Children's Clothing,21,117
43861,West,Children's Clothing,9,768
43943,East,Women's Clothing,22,806
43831,East,Women's Clothing,12,322
43838,West,Women's Clothing,30,440
44148,West,Men's Clothing,26,297
44088,North,Women's Clothing,13,72
44086,West,Children's Clothing,16,288
44143,East,Women's Clothing,18,352
43974,East,Men's Clothing,34,204
44152,West,Children's Clothing,23,990
43996,West,Children's Clothing,7,264
44051,North,Women's Clothing,17,168
44168,North,Women's Clothing,31,162
44135,West,Women's Clothing,33,196
44028,West,Children's Clothing,8,288
44149,North,Men's Clothing,,189
44096,North,Women's Clothing,29,98
43902,East,Women's Clothing,20,810
43947,East,Men's Clothing,21,342
44042,North,Children's Clothing,34,990
44117,North,Men's Clothing,,280
43904,North,Women's Clothing,3,552
43952,West,Men's Clothing,29,252
43957,East,Men's Clothing,13,252
43859,East,Men's Clothing,10,440
43833,South,Children's Clothing,26,324
44046,North,Men's Clothing,,690
43918,West,Children's Clothing,10,286
44189,North,Children's Clothing,7,403
43895,West,Children's Clothing,6,176
43944,East,Women's Clothing,14,360
44068,East,Children's Clothing,18,544
44097,East,Women's Clothing,25,736
44174,East,Women's Clothing,26,140
44022,East,Women's Clothing,15,391
44074,North,Women's Clothing,7,589
43859,North,Men's Clothing,,891
44021,South,Men's Clothing,21,128
43847,South,Women's Clothing,12,208
43913,South,Men's Clothing,29,522
44130,East,Men's Clothing,9,440
44064,North,Men's Clothing,,231
44085,North,Women's Clothing,5,1122
43886,East,Men's Clothing,3,330
43949,North,Children's Clothing,34,99
44105,West,Children's Clothing,5,493
43978,East,Men's Clothing,18,403
43911,East,Children's Clothing,33,310
44013,South,Women's Clothing,22,468
44193,North,Men's Clothing,,594
43953,East,Children's Clothing,7,270
43953,East,Women's Clothing,4,105
43890,East,Men's Clothing,15,150
44132,East,Men's Clothing,7,182
43847,East,Women's Clothing,15,360
43998,North,Men's Clothing,,350
44178,East,Men's Clothing,11,546
44118,East,Children's Clothing,17,225
43953,North,Children's Clothing,28,182
43873,South,Children's Clothing,25,408
44000,North,Men's Clothing,,546
43949,East,Men's Clothing,29,384
44079,North,Children's Clothing,35,319
44184,East,Men's Clothing,6,171
43981,South,Men's Clothing,9,143
44005,East,Men's Clothing,21,145
43859,East,Men's Clothing,5,60
44185,North,Women's Clothing,29,748
44168,East,Women's Clothing,30,95
43924,South,Women's Clothing,23,360
44153,East,Children's Clothing,8,990
44181,West,Men's Clothing,26,418
43954,North,Women's Clothing,13,310
44136,North,Men's Clothing,,203
44037,East,Women's Clothing,33,112
43900,North,Women's Clothing,31,225
43971,North,Children's Clothing,27,161
43891,West,Men's Clothing,8,345
43851,East,Children's Clothing,3,870
43834,East,Men's Clothing,23,330
44069,North,Men's Clothing,,306
43881,North,Men's Clothing,,728
43911,East,Women's Clothing,35,625
43970,East,Men's Clothing,6,700
44182,East,Women's Clothing,8,522
43865,East,Children's Clothing,7,385
43993,North,Women's Clothing,17,156
44135,South,Children's Clothing,29,144
43994,West,Children's Clothing,3,567
44028,South,Women's Clothing,30,55
43887,East,Women's Clothing,14,493
43865,North,Women's Clothing,26,660
44006,East,Children's Clothing,30,644
44033,East,Women's Clothing,5,240
43964,South,Children's Clothing,33,520
43869,North,Men's Clothing,,156
44082,East,Women's Clothing,3,676
44007,East,Women's Clothing,15,495
44029,North,Children's Clothing,27,837
43919,West,Children's Clothing,12,756
43922,South,Children's Clothing,12,176
44191,East,Men's Clothing,3,48
43982,East,Men's Clothing,27,506
44046,East,Children's Clothing,7,324
44029,North,Men's Clothing,,726
43875,West,Children's Clothing,30,910
44063,North,Women's Clothing,3,84
44173,North,Men's Clothing,,208
44150,South,Women's Clothing,31,98
44002,East,Women's Clothing,10,527
44159,East,Children's Clothing,13,319
43968,East,Men's Clothing,25,42
43918,East,Men's Clothing,5,840
43885,East,Children's Clothing,11,154
43990,East,Women's Clothing,27,754
44111,East,Men's Clothing,23,990
43839,South,Women's Clothing,28,105
43981,East,Women's Clothing,5,858
43867,West,Women's Clothing,8,196
43892,East,Men's Clothing,19,63
43894,East,Women's Clothing,18,495
44011,East,Men's Clothing,13,729
44158,East,Women's Clothing,20,132
43941,North,Women's Clothing,3,336
44115,South,Children's Clothing,18,51
43857,North,Women's Clothing,10,729
43910,East,Children's Clothing,12,91
44034,East,Women's Clothing,18,200
44171,East,Women's Clothing,31,600
43996,East,Children's Clothing,25,90
44033,East,Women's Clothing,28,418
43894,East,Women's Clothing,28,682
43850,North,Women's Clothing,26,250
44154,West,Men's Clothing,18,299
43862,North,Women's Clothing,26,525
44182,East,Women's Clothing,16,100
43924,East,Women's Clothing,5,352
43883,East,Children's Clothing,30,378
44065,East,Children's Clothing,32,437
44177,East,Children's Clothing,30,560
43929,North,Men's Clothing,,145
43874,North,Children's Clothing,15,200
43988,East,Children's Clothing,16,570
43860,East,Women's Clothing,25,324
43989,South,Children's Clothing,35,247
44107,West,Men's Clothing,10,280
44182,South,Men's Clothing,31,81
43838,South,Men's Clothing,34,486
43964,East,Children's Clothing,21,140
43897,North,Men's Clothing,,336
44181,South,Women's Clothing,5,360
43858,North,Men's Clothing,,465
44121,East,Women's Clothing,23,525
44021,South,Men's Clothing,15,924
44167,East,Children's Clothing,19,756
44103,North,Women's Clothing,26,832
43873,North,Women's Clothing,29,522
44147,East,Men's Clothing,26,624
43876,East,Men's Clothing,20,448
43885,North,Women's Clothing,7,115
44122,North,Women's Clothing,16,840
44186,North,Women's Clothing,11,1056
43989,East,Men's Clothing,33,840
43889,East,Men's Clothing,34,39
44109,East,Men's Clothing,8,270
43972,North,Men's Clothing,,288
43993,South,Men's Clothing,9,700
43947,North,Children's Clothing,35,490
43991,East,Men's Clothing,30,330
43929,North,Women's Clothing,9,372
43838,North,Women's Clothing,18,1054
44111,North,Women's Clothing,30,462
43853,North,Men's Clothing,,87
44182,East,Women's Clothing,26,60
44034,East,Men's Clothing,26,500
43901,East,Women's Clothing,12,713
44144,East,Men's Clothing,21,495
43845,East,Men's Clothing,31,266
44063,North,Children's Clothing,16,416
43929,North,Women's Clothing,18,638
44121,West,Women's Clothing,14,806
43999,East,Women's Clothing,13,420
43884,East,Men's Clothing,8,91
44004,East,Men's Clothing,14,400
43847,North,Women's Clothing,33,319
43978,East,Women's Clothing,16,594
44011,East,Women's Clothing,11,748
43848,North,Men's Clothing,,216
44196,East,Women's Clothing,35,112
43843,North,Children's Clothing,27,99
43965,North,Children's Clothing,8,1015
43953,North,Men's Clothing,,450
44096,East,Children's Clothing,27,216
44057,East,Children's Clothing,16,216
43867,South,Women's Clothing,29,630
43944,East,Children's Clothing,31,364
44085,South,Children's Clothing,15,832
43870,South,Women's Clothing,8,754
44165,East,Women's Clothing,6,288
43969,West,Children's Clothing,21,588
44152,East,Women's Clothing,15,868
43884,East,Men's Clothing,27,400
43976,East,Children's Clothing,12,198
44115,North,Women's Clothing,5,168
44059,East,Children's Clothing,9,338
44113,East,Men's Clothing,30,232
44182,North,Children's Clothing,30,364
44113,East,Women's Clothing,28,429
44056,North,Women's Clothing,20,208
44083,East,Women's Clothing,23,209
43880,North,Women's Clothing,33,168
43941,North,Children's Clothing,32,595
43969,South,Children's Clothing,4,729
43865,West,Men's Clothing,27,168
43863,West,Women's Clothing,32,558
43884,East,Women's Clothing,16,567
43843,East,Women's Clothing,12,272
44192,North,Men's Clothing,,493
44081,East,Men's Clothing,4,961
43846,East,Children's Clothing,15,165
44122,East,Men's Clothing,23,128
44157,East,Women's Clothing,19,132
43982,East,Women's Clothing,21,315
43923,East,Women's Clothing,33,240
43835,West,Women's Clothing,30,540
44022,North,Children's Clothing,14,264
43874,East,Children's Clothing,27,110
44098,East,Women's Clothing,7,117
44121,West,Men's Clothing,9,900
44158,North,Men's Clothing,,630
44007,East,Men's Clothing,27,868
43900,East,Children's Clothing,34,300
43910,East,Children's Clothing,11,299
44081,West,Women's Clothing,32,825
44091,North,Children's Clothing,13,960
43855,North,Men's Clothing,,76
44008,East,Men's Clothing,6,702
43839,East,Men's Clothing,25,352
43993,North,Women's Clothing,23,496
43882,East,Women's Clothing,29,288
44160,West,Women's Clothing,31,612
43982,East,Children's Clothing,35,120
44055,East,Men's Clothing,31,405
43984,South,Women's Clothing,30,552
43973,West,Women's Clothing,20,437
43996,East,Women's Clothing,33,609
44108,South,Children's Clothing,33,891
43964,North,Men's Clothing,,900
43916,East,Children's Clothing,33,336
44002,East,Men's Clothing,11,729
44194,East,Women's Clothing,17,154
44035,North,Women's Clothing,4,216
43953,North,Children's Clothing,15,198
44173,East,Women's Clothing,19,513
44139,East,Children's Clothing,31,918
44106,East,Women's Clothing,19,231
43835,North,Women's Clothing,18,960
43968,East,Men's Clothing,25,312
44114,North,Women's Clothing,4,84
43991,North,Children's Clothing,7,192
44193,North,Men's Clothing,,825
43934,North,Women's Clothing,26,713
43855,North,Women's Clothing,5,957
44175,North,Children's Clothing,5,558
44115,East,Children's Clothing,7,1015
43957,East,Women's Clothing,9,837
43965,West,Men's Clothing,33,840
43968,West,Men's Clothing,35,520
43898,East,Men's Clothing,33,561
44087,North,Children's Clothing,30,429
43897,East,Women's Clothing,32,360
44030,East,Children's Clothing,9,462
43957,West,Children's Clothing,27,330
43934,East,Women's Clothing,18,391
44098,East,Children's Clothing,30,112
43919,South,Men's Clothing,19,375
43846,West,Women's Clothing,12,304
43864,North,Women's Clothing,15,961
44037,North,Women's Clothing,16,475
44118,East,Women's Clothing,12,378
43882,North,Men's Clothing,,550
43951,East,Women's Clothing,9,68
43925,East,Children's Clothing,25,224
44141,North,Women's Clothing,22,325
43942,East,Women's Clothing,16,806
44082,North,Children's Clothing,19,55
44007,East,Men's Clothing,7,165
44131,East,Men's Clothing,25,168
43985,South,Men's Clothing,22,207
43899,East,Men's Clothing,14,726
44078,South,Men's Clothing,34,1085
44110,West,Men's Clothing,3,462
43944,South,Women's Clothing,29,450
44184,West,Women's Clothing,9,800
44110,East,Children's Clothing,11,162
44062,East,Women's Clothing,30,648
44050,East,Women's Clothing,3,450
44014,North,Women's Clothing,14,330
43887,North,Women's Clothing,23,266
44178,East,Men's Clothing,17,204
44031,East,Women's Clothing,5,315
43996,North,Children's Clothing,6,208
43832,East,Children's Clothing,18,204
44111,West,Women's Clothing,13,126
43872,West,Children's Clothing,16,297
44020,East,Children's Clothing,29,575
44069,North,Women's Clothing,24,308
44182,East,Men's Clothing,35,432
43921,South,Men's Clothing,21,323
44064,North,Women's Clothing,25,77
43994,West,Women's Clothing,29,450
43926,North,Children's Clothing,30,418
43890,South,Women's Clothing,10,434
44094,North,Women's Clothing,22,782
44158,East,Women's Clothing,25,93
44142,East,Men's Clothing,20,754
43937,South,Women's Clothing,33,180
44032,East,Men's Clothing,6,187
43833,South,Women's Clothing,13,750
44099,North,Women's Clothing,3,87
44121,North,Women's Clothing,17,406
43864,East,Women's Clothing,18,575
44092,East,Women's Clothing,34,255
43972,North,Women's Clothing,35,135
44049,East,Women's Clothing,32,66
44143,East,Women's Clothing,28,252
43845,South,Women's Clothing,13,429
44188,North,Women's Clothing,20,528
44194,North,Children's Clothing,4,493
44076,East,Women's Clothing,33,336
44136,South,Men's Clothing,10,455
43913,West,Women's Clothing,20,693
43917,South,Men's Clothing,11,300
44063,West,Women's Clothing,31,899
43941,North,Men's Clothing,,570
44118,North,Men's Clothing,,240
43911,East,Men's Clothing,35,352
44074,East,Women's Clothing,5,300
43876,North,Women's Clothing,4,380
44165,West,Men's Clothing,10,561
44108,South,Children's Clothing,4,186
44090,North,Men's Clothing,,312
43930,North,Women's Clothing,3,42
44141,East,Women's Clothing,23,561
43982,North,Women's Clothing,28,306
43936,North,Children's Clothing,35,374
43985,East,Women's Clothing,18,560
43885,South,Men's Clothing,8,1056
43982,East,Women's Clothing,30,700
44188,East,Women's Clothing,22,208
43863,West,Women's Clothing,7,280
44073,South,Women's Clothing,11,100
44099,West,Women's Clothing,26,1023
44098,East,Children's Clothing,25,310
43889,North,Women's Clothing,14,420
43853,North,Men's Clothing,,231
44061,South,Women's Clothing,20,341
43900,East,Children's Clothing,15,342
44126,West,Men's Clothing,5,143
44084,West,Women's Clothing,4,525
43944,East,Women's Clothing,26,110
43997,East,Women's Clothing,28,84
44035,South,Women's Clothing,20,330
44196,West,Women's Clothing,27,52
43833,North,Men's Clothing,,240
44036,South,Children's Clothing,33,48
43967,South,Children's Clothing,28,529
44105,South,Men's Clothing,4,728
44136,East,Women's Clothing,7,945
44023,North,Women's Clothing,22,270
44071,East,Men's Clothing,8,208
44015,East,Children's Clothing,22,390
44151,North,Men's Clothing,,616
44075,South,Men's Clothing,11,175
43888,East,Men's Clothing,8,220
44035,East,Women's Clothing,28,780
44140,East,Children's Clothing,26,325
44157,South,Children's Clothing,28,182
44009,East,Women's Clothing,26,312
43915,South,Women's Clothing,4,640
44033,North,Men's Clothing,,480
44186,North,Men's Clothing,,135
44106,East,Men's Clothing,23,72
43935,North,Women's Clothing,4,468
43845,East,Women's Clothing,32,420
43977,North,Women's Clothing,26,240
44184,South,Men's Clothing,16,864
43932,East,Women's Clothing,12,930
44003,North,Women's Clothing,23,528
44104,North,Men's Clothing,,308
44130,North,Women's Clothing,33,132
44072,West,Women's Clothing,19,126
44003,West,Women's Clothing,18,550
43927,North,Women's Clothing,13,216
43923,East,Men's Clothing,26,726
43923,North,Children's Clothing,28,195
44147,North,Women's Clothing,34,121
44166,East,Children's Clothing,25,192
43920,South,Children's Clothing,16,896
43971,North,Children's Clothing,32,546
44090,North,Women's Clothing,26,476
44122,North,Women's Clothing,17,390
43967,North,Women's Clothing,34,112
43893,East,Women's Clothing,6,432
43890,East,Children's Clothing,33,156
43911,North,Women's Clothing,14,483
44160,South,Children's Clothing,32,84
44181,West,Children's Clothing,14,832
44110,South,Children's Clothing,24,832
44058,East,Children's Clothing,34,432
44005,South,Women's Clothing,15,348
43862,East,Women's Clothing,24,529
44182,South,Children's Clothing,10,200
44015,North,Women's Clothing,4,1089
44162,East,Children's Clothing,32,342
44124,North,Women's Clothing,6,432
43907,East,Women's Clothing,25,247
43929,East,Men's Clothing,3,806
44101,South,Women's Clothing,34,616
43879,West,Men's Clothing,3,918
44066,South,Children's Clothing,35,750
43941,East,Women's Clothing,15,448
43854,East,Women's Clothing,31,544
44196,West,Women's Clothing,20,520
43846,South,Men's Clothing,18,289
44101,East,Men's Clothing,28,1054
43967,South,Women's Clothing,18,90
44066,South,Children's Clothing,14,495
43885,South,Children's Clothing,13,336
44063,East,Women's Clothing,14,384
44065,East,Children's Clothing,27,406
43945,South,Children's Clothing,18,600
43878,East,Children's Clothing,11,918
43841,West,Children's Clothing,17,375
44177,East,Women's Clothing,9,624
43837,East,Men's Clothing,33,280
44061,North,Children's Clothing,15,132
43968,North,Women's Clothing,17,544
44026,North,Children's Clothing,25,126
44120,East,Men's Clothing,14,575
44044,North,Women's Clothing,18,57
43985,East,Men's Clothing,11,476
43985,West,Women's Clothing,14,66
43992,North,Children's Clothing,22,875
43922,East,Women's Clothing,10,345
44155,North,Children's Clothing,25,744
43946,North,Men's Clothing,,480
44122,East,Women's Clothing,25,324
44189,East,Children's Clothing,7,924
44159,South,Men's Clothing,25,540
44136,East,Children's Clothing,6,448
43970,North,Women's Clothing,17,221
44103,East,Men's Clothing,4,378
43881,East,Women's Clothing,15,675
44020,East,Women's Clothing,18,306
43927,North,Children's Clothing,34,319
43994,East,Children's Clothing,15,272
43895,East,Men's Clothing,34,180
43881,East,Women's Clothing,33,462
43849,North,Children's Clothing,18,390
44039,West,Men's Clothing,16,408
44192,West,Women's Clothing,7,400
43843,West,Children's Clothing,8,406
44108,East,Women's Clothing,34,342
44191,North,Men's Clothing,,275
44185,North,Children's Clothing,14,210
43910,East,Men's Clothing,23,352
44170,East,Women's Clothing,10,320
43994,East,Men's Clothing,31,725
43996,North,Men's Clothing,,465
43867,East,Men's Clothing,33,725
44037,East,Women's Clothing,25,133
44063,North,Women's Clothing,7,500
44152,North,Men's Clothing,,66
43891,East,Men's Clothing,5,544
43977,South,Children's Clothing,27,96
44094,East,Children's Clothing,32,360
43920,West,Children's Clothing,13,216
44174,East,Children's Clothing,23,1122
44188,North,Men's Clothing,,360
44082,West,Women's Clothing,24,850
43844,North,Women's Clothing,8,726
44138,North,Women's Clothing,29,324
43918,East,Men's Clothing,34,304
43915,East,Children's Clothing,24,140
43991,East,Women's Clothing,24,112
44082,East,Women's Clothing,30,510
43893,North,Women's Clothing,14,435
44102,West,Men's Clothing,34,182
44177,North,Women's Clothing,27,322
44140,East,Women's Clothing,11,250
44089,East,Children's Clothing,29,992
44120,East,Women's Clothing,14,308
44064,North,Men's Clothing,,957
44090,North,Women's Clothing,22,500
44082,North,Children's Clothing,26,105
44016,South,Women's Clothing,4,150
44138,West,Children's Clothing,24,115
43946,South,Women's Clothing,11,729
43928,East,Women's Clothing,24,448
44072,East,Women's Clothing,12,390
44007,North,Women's Clothing,5,644
43919,West,Children's Clothing,18,261
44031,East,Men's Clothing,24,552
44070,East,Women's Clothing,9,136
43855,North,Men's Clothing,,957
44046,North,Children's Clothing,7,918
44086,North,Children's Clothing,29,336
43966,North,Men's Clothing,,624
43844,West,Children's Clothing,6,900
44149,North,Women's Clothing,29,350
44094,East,Men's Clothing,8,680
43901,North,Women's Clothing,7,756
44123,East,Children's Clothing,19,198
44111,East,Women's Clothing,15,754
44178,North,Women's Clothing,31,308
43868,North,Women's Clothing,16,165
43862,East,Men's Clothing,14,550
43885,North,Women's Clothing,11,546
43884,South,Men's Clothing,7,84
43948,North,Women's Clothing,31,792
43962,South,Children's Clothing,27,297
44176,West,Men's Clothing,13,744
43886,South,Women's Clothing,35,288
43850,East,Women's Clothing,28,80
43910,East,Women's Clothing,35,288
44062,North,Men's Clothing,,672
44034,North,Men's Clothing,,171
44077,East,Children's Clothing,11,126
44092,East,Men's Clothing,21,175
44194,West,Women's Clothing,25,580
44007,East,Men's Clothing,22,192
44194,North,Women's Clothing,34,78
44099,North,Women's Clothing,32,406
44123,West,Women's Clothing,21,160
44006,West,Women's Clothing,16,98
44187,East,Children's Clothing,22,285
43981,East,Men's Clothing,21,255
43856,East,Children's Clothing,22,558
43893,South,Men's Clothing,18,512
43930,East,Men's Clothing,24,448
43833,South,Children's Clothing,16,198
43887,East,Women's Clothing,14,161
43944,North,Men's Clothing,,930
43949,North,Children's Clothing,35,297
44132,East,Men's Clothing,34,390
44021,North,Men's Clothing,,910
44073,South,Children's Clothing,5,420
44015,East,Children's Clothing,6,735
44077,North,Children's Clothing,5,324
43896,North,Children's Clothing,6,352
43941,East,Men's Clothing,33,121
43931,North,Children's Clothing,11,651
44169,West,Women's Clothing,28,325
43912,North,Men's Clothing,,550
44014,East,Women's Clothing,29,714
43941,South,Men's Clothing,26,832
