Member_number,Date,itemDescription
4095,01/11/15,other vegetables
1264,17/11/15,bottled water
3375,06/01/15,pork
3242,23/05/15,bottled water
2227,07/06/15,other vegetables
3847,03/12/15,hamburger meat
3897,31/05/15,hamburger meat
1799,27/09/15,shopping bags
2920,26/04/15,whole milk
3713,31/01/15,ice cream
4230,05/11/15,pastry
1455,18/03/15,ham
3687,18/03/15,frankfurter
3869,01/08/15,sausage
2988,14/10/15,bottled beer
4242,30/03/15,bottled water
4118,24/12/15,meat
4996,24/10/15,dessert
4489,04/03/15,other vegetables
1199,09/11/15,beverages
4108,12/05/15,ham
3484,05/06/15,specialty bar
1239,31/08/15,brown bread
4839,19/12/15,whole milk
4748,07/05/15,rolls/buns
4426,06/06/15,bottled beer
3571,11/12/15,pet care
2852,08/06/15,citrus fruit
3638,26/05/15,pork
3635,10/03/15,other vegetables
2723,07/05/15,white wine
3495,11/03/15,whole milk
2813,16/11/15,pip fruit
2799,02/09/15,sugar
4723,22/05/15,tropical fruit
3313,08/04/15,root vegetables
4748,15/12/15,soda
2991,16/02/15,whole milk
1483,01/04/15,tropical fruit
3950,01/10/15,white bread
1634,16/01/15,brown bread
2694,21/11/15,tropical fruit
2707,18/10/15,domestic eggs
2813,16/07/15,coffee
2276,11/01/15,soda
4726,06/02/15,whole milk
4353,25/05/15,bottled beer
4017,13/08/15,pork
1422,21/08/15,other vegetables
2714,15/03/15,yogurt
2769,21/07/15,sparkling wine
4166,30/04/15,bottled water
3614,02/03/15,citrus fruit
4361,05/09/15,hamburger meat
1922,22/09/15,packaged fruit/vegetables
4728,06/09/15,other vegetables
3646,08/08/15,soda
1155,10/08/15,whole milk
2119,11/06/15,herbs
1602,29/08/15,citrus fruit
1074,24/06/15,misc. beverages
2256,11/04/15,female sanitary products
1348,17/09/15,soda
3806,28/08/15,tropical fruit
1711,06/06/15,soda
3959,12/04/15,white bread
1590,15/08/15,coffee
1962,08/06/15,tropical fruit
1766,21/01/15,pork
2551,21/10/15,citrus fruit
2294,23/09/15,frankfurter
4531,29/05/15,frankfurter
2957,12/04/15,frankfurter
4415,27/01/15,other vegetables
1476,26/08/15,yogurt
3978,23/07/15,sausage
2062,22/09/15,whole milk
3252,28/06/15,pip fruit
3922,24/06/15,whole milk
1491,17/10/15,root vegetables
3526,26/08/15,onions
4060,11/12/15,specialty chocolate
1067,08/04/15,hamburger meat
2840,27/01/15,photo/film
4484,27/11/15,rolls/buns
2353,07/02/15,canned beer
3130,18/02/15,canned beer
4273,14/06/15,other vegetables
4565,30/12/15,canned beer
2504,14/08/15,curd
4127,23/10/15,butter
2690,01/04/15,other vegetables
4129,22/09/15,whole milk
4511,29/06/15,beef
1602,04/08/15,sausage
4369,01/02/15,soda
1302,29/09/15,fruit/vegetable juice
3326,30/04/15,rolls/buns
2066,21/05/15,pip fruit
3483,15/01/15,frozen vegetables
2840,12/02/15,beverages
1807,18/05/15,hamburger meat
2067,12/08/15,root vegetables
3783,17/02/15,canned beer
2884,04/01/15,frozen vegetables
2908,15/03/15,canned beer
1330,10/07/15,newspapers
2293,08/05/15,rolls/buns
3718,20/05/15,hamburger meat
4338,25/01/15,pip fruit
3486,08/11/15,canned beer
3635,04/09/15,grapes
2857,18/02/15,root vegetables
3684,13/08/15,citrus fruit
3120,20/10/15,cling film/bags
3872,19/03/15,frankfurter
2777,07/04/15,whole milk
2702,27/05/15,pork
4796,29/06/15,chicken
1564,23/10/15,sausage
2740,02/07/15,specialty bar
1833,13/04/15,whipped/sour cream
1757,23/12/15,root vegetables
2975,24/10/15,rolls/buns
4032,10/08/15,other vegetables
3979,16/09/15,citrus fruit
3772,09/03/15,whole milk
4523,28/10/15,frankfurter
4004,19/04/15,coffee
2936,08/06/15,ham
2394,21/06/15,canned beer
4616,16/08/15,canned beer
2362,08/07/15,canned beer
3593,03/11/15,pip fruit
4389,27/08/15,pork
3206,11/08/15,soap
4601,04/01/15,pip fruit
4382,13/11/15,beef
2718,08/06/15,sausage
4691,12/10/15,frozen chicken
3735,28/11/15,soda
3900,20/12/15,tropical fruit
4959,30/06/15,other vegetables
1815,30/08/15,beef
2454,08/04/15,meat
4778,15/01/15,meat
2289,04/11/15,bottled water
1734,13/07/15,rolls/buns
4019,05/02/15,pastry
4605,28/05/15,pork
4864,14/11/15,pip fruit
4205,22/02/15,beef
1862,03/08/15,beef
1846,19/07/15,rolls/buns
2019,28/05/15,citrus fruit
2042,19/11/15,meat
1768,26/05/15,beverages
3847,26/03/15,beef
3557,20/07/15,ham
3975,27/02/15,hamburger meat
4198,18/03/15,beef
2580,04/09/15,beef
3474,25/08/15,root vegetables
1678,14/11/15,citrus fruit
4254,14/08/15,yogurt
4704,21/08/15,tropical fruit
3343,10/05/15,frankfurter
3812,24/06/15,beef
3093,13/03/15,shopping bags
2170,18/06/15,canned beer
4867,29/10/15,rolls/buns
3899,23/03/15,other vegetables
2941,03/10/15,hamburger meat
1958,03/07/15,hamburger meat
2760,08/08/15,frankfurter
4413,03/08/15,bottled beer
1737,15/05/15,tropical fruit
4202,18/02/15,soda
1065,13/11/15,frankfurter
3819,28/06/15,chicken
2854,08/02/15,coffee
4387,16/09/15,whole milk
4530,12/04/15,margarine
4191,03/11/15,tropical fruit
3102,04/12/15,meat
1946,25/01/15,cream cheese 
2156,15/05/15,newspapers
1444,16/12/15,rolls/buns
1699,14/05/15,citrus fruit
4954,04/05/15,whole milk
2207,08/04/15,frankfurter
4826,28/01/15,ham
2374,08/06/15,frankfurter
1604,18/08/15,sausage
4437,29/11/15,domestic eggs
2319,10/05/15,whole milk
3018,27/06/15,rolls/buns
1195,28/09/15,whole milk
1768,04/09/15,sausage
3017,28/09/15,curd
3384,29/11/15,bottled water
1918,30/01/15,beef
2524,17/10/15,frankfurter
2798,17/06/15,chicken
2096,25/01/15,sausage
1489,13/03/15,pork
1431,20/07/15,yogurt
2747,05/07/15,whole milk
3054,22/03/15,frankfurter
2691,09/10/15,beef
1752,19/04/15,pip fruit
3027,15/09/15,sausage
4452,17/06/15,pastry
4129,13/08/15,chicken
3523,09/11/15,root vegetables
2128,11/02/15,whole milk
4867,03/02/15,detergent
4762,30/10/15,rolls/buns
1632,29/05/15,house keeping products
4018,17/11/15,yogurt
1722,13/07/15,tropical fruit
1438,19/10/15,tropical fruit
3958,27/10/15,curd
3292,13/09/15,beef
2861,23/02/15,whole milk
1757,24/02/15,pork
1509,30/12/15,other vegetables
2364,11/05/15,rolls/buns
3084,26/10/15,frankfurter
1850,17/02/15,yogurt
1949,17/03/15,whole milk
4740,02/10/15,bottled water
1072,23/10/15,frankfurter
4196,09/07/15,rolls/buns
4814,13/09/15,whole milk
1514,28/02/15,rolls/buns
4584,25/10/15,chicken
2751,03/02/15,tropical fruit
4155,24/09/15,sausage
4670,11/10/15,sausage
4566,27/07/15,frankfurter
2371,30/08/15,UHT-milk
3442,14/11/15,rolls/buns
3090,27/09/15,canned beer
1457,09/01/15,yogurt
4952,08/04/15,whipped/sour cream
3165,11/01/15,rolls/buns
2608,19/09/15,rolls/buns
2040,07/10/15,beverages
1327,09/08/15,rolls/buns
3363,07/01/15,rolls/buns
1731,09/09/15,bottled beer
2760,02/08/15,citrus fruit
3120,14/01/15,bottled water
1332,30/04/15,pastry
4530,12/09/15,domestic eggs
3145,23/02/15,beef
1099,13/08/15,spread cheese
3188,06/12/15,tropical fruit
3748,13/10/15,packaged fruit/vegetables
4655,31/03/15,whole milk
1827,01/05/15,meat
2485,17/02/15,onions
4683,15/01/15,frankfurter
4358,06/11/15,beef
1931,09/10/15,beef
2490,18/12/15,sausage
4842,08/12/15,chicken
4616,01/01/15,canned beer
2810,22/09/15,sausage
2785,18/10/15,tropical fruit
3591,20/07/15,frankfurter
3896,10/09/15,sausage
3842,01/07/15,beef
2648,10/07/15,tropical fruit
4688,02/10/15,yogurt
3511,26/08/15,frankfurter
3084,04/09/15,bottled beer
3810,07/05/15,grapes
4348,26/02/15,beverages
3584,10/03/15,curd
2620,11/06/15,ice cream
2716,18/01/15,sausage
3797,10/08/15,other vegetables
2976,02/06/15,dessert
2762,07/11/15,decalcifier
3752,25/04/15,canned beer
1659,30/11/15,coffee
4109,08/02/15,berries
1542,07/08/15,pork
2068,07/06/15,frankfurter
4509,14/06/15,pork
4646,14/06/15,frankfurter
2122,07/04/15,frozen dessert
2730,15/06/15,chicken
1800,31/07/15,vinegar
1456,18/09/15,rolls/buns
1138,02/09/15,whole milk
4104,12/06/15,pork
4985,28/02/15,rolls/buns
3181,13/12/15,grapes
3178,21/10/15,frankfurter
1688,10/11/15,finished products
1488,28/11/15,onions
4975,08/05/15,tropical fruit
4697,09/01/15,other vegetables
4742,11/01/15,ham
2640,22/04/15,other vegetables
2548,25/12/15,curd
2825,29/12/15,sausage
2592,04/07/15,canned beer
3622,28/12/15,ham
4852,21/08/15,packaged fruit/vegetables
1839,03/09/15,meat
2413,04/04/15,whole milk
2982,14/06/15,canned beer
1981,31/10/15,chicken
4440,21/09/15,rolls/buns
3497,24/11/15,pet care
3668,18/12/15,root vegetables
4460,28/05/15,pastry
1335,16/01/15,frankfurter
4303,07/12/15,chicken
3508,28/02/15,frozen dessert
1959,19/03/15,citrus fruit
3856,06/03/15,sausage
3141,29/07/15,root vegetables
4640,25/09/15,root vegetables
4851,25/05/15,bottled beer
3306,22/09/15,frankfurter
2193,08/04/15,root vegetables
1156,13/09/15,berries
4596,08/04/15,hamburger meat
1245,08/10/15,tropical fruit
1515,05/07/15,frankfurter
2564,14/07/15,frankfurter
4527,18/10/15,soda
2487,09/07/15,ice cream
3420,27/02/15,beef
4442,28/11/15,whole milk
3164,30/04/15,pork
3601,01/04/15,whole milk
3176,25/05/15,bottled beer
2568,22/07/15,pork
1856,26/10/15,root vegetables
3859,30/09/15,canned beer
1668,21/08/15,citrus fruit
4499,23/08/15,pip fruit
1753,21/08/15,root vegetables
3829,25/06/15,tropical fruit
4825,08/01/15,beef
3694,10/11/15,chicken
4147,02/01/15,citrus fruit
2196,09/10/15,meat
2229,22/05/15,cream cheese 
4724,03/09/15,citrus fruit
3066,11/10/15,specialty bar
1120,08/06/15,meat
4769,22/08/15,citrus fruit
4711,17/09/15,frankfurter
2391,22/06/15,citrus fruit
1216,04/03/15,turkey
3154,14/05/15,citrus fruit
3911,30/07/15,sausage
3111,15/10/15,newspapers
1385,26/11/15,whole milk
1158,21/03/15,yogurt
2733,22/07/15,yogurt
4999,26/12/15,bottled water
2882,12/06/15,berries
2590,25/06/15,packaged fruit/vegetables
4249,04/08/15,frankfurter
3012,03/05/15,nuts/prunes
1533,07/11/15,citrus fruit
1667,12/01/15,beef
4323,13/05/15,whole milk
2087,22/02/15,other vegetables
1853,31/05/15,beef
2157,29/10/15,fish
1136,29/10/15,other vegetables
2049,07/10/15,tropical fruit
3122,02/05/15,coffee
2245,15/05/15,sausage
4746,18/10/15,meat
4224,24/02/15,chicken
4219,19/03/15,berries
2641,01/01/15,frozen meals
3173,25/07/15,whipped/sour cream
2191,19/10/15,beef
4212,07/04/15,chicken
1902,01/12/15,chicken
1347,27/03/15,beef
1578,23/06/15,packaged fruit/vegetables
1264,23/11/15,sugar
4632,30/09/15,frankfurter
3452,01/11/15,berries
4822,10/02/15,bottled water
3987,18/06/15,sausage
1672,07/10/15,whole milk
4864,01/12/15,ice cream
3368,09/03/15,frankfurter
1283,22/09/15,root vegetables
4428,28/06/15,sausage
2577,25/10/15,sausage
1973,24/10/15,beef
3284,23/01/15,fruit/vegetable juice
1905,19/05/15,sugar
2226,09/03/15,berries
1932,04/09/15,yogurt
4506,11/08/15,pork
1843,27/11/15,bottled beer
3973,27/07/15,curd
1651,28/07/15,beef
3997,12/10/15,pork
4796,25/08/15,white bread
1245,24/09/15,grapes
3579,17/08/15,potato products
4387,10/02/15,root vegetables
2496,29/06/15,chicken
3590,28/03/15,chicken
2890,26/04/15,fish
1401,27/01/15,canned beer
3297,21/05/15,other vegetables
2867,23/12/15,chicken
1365,20/05/15,other vegetables
2355,24/07/15,tropical fruit
1170,19/03/15,whole milk
3554,21/03/15,beef
4171,26/01/15,sausage
3963,17/09/15,whole milk
3076,08/12/15,rolls/buns
1629,17/05/15,citrus fruit
1366,30/05/15,whole milk
3677,29/07/15,pastry
2844,21/05/15,tropical fruit
4509,28/09/15,sliced cheese
3245,11/05/15,soda
2294,22/06/15,ham
1234,20/11/15,salty snack
3001,24/12/15,whole milk
3587,05/08/15,root vegetables
2700,22/01/15,soda
3838,14/12/15,curd
4045,22/12/15,bottled water
1858,25/04/15,packaged fruit/vegetables
2280,11/01/15,tropical fruit
2454,06/04/15,ham
4437,09/10/15,pork
1685,30/03/15,beverages
2349,26/02/15,sausage
1463,24/12/15,sausage
3470,19/02/15,root vegetables
4914,29/11/15,whole milk
2448,31/08/15,frankfurter
3387,10/05/15,soda
3167,04/11/15,soda
3175,17/03/15,frankfurter
2678,21/09/15,berries
4627,18/12/15,canned beer
1773,17/10/15,frankfurter
3100,23/05/15,frankfurter
3232,29/05/15,berries
3673,12/08/15,frankfurter
4068,19/11/15,newspapers
2340,07/10/15,frozen fish
1930,01/03/15,tropical fruit
3526,02/06/15,beef
1617,10/02/15,rolls/buns
1028,11/07/15,specialty chocolate
4440,01/12/15,sparkling wine
3554,23/07/15,citrus fruit
1632,15/12/15,onions
1429,07/02/15,whole milk
1225,20/05/15,photo/film
2509,15/07/15,hamburger meat
4945,02/08/15,other vegetables
4342,18/03/15,whole milk
1832,28/09/15,pork
1518,21/06/15,tropical fruit
1512,20/09/15,chicken
4818,20/03/15,other vegetables
4686,19/08/15,sausage
4986,01/02/15,whole milk
2755,06/02/15,rolls/buns
4532,29/11/15,hygiene articles
2070,16/08/15,ice cream
1894,09/05/15,curd
3473,25/01/15,whole milk
2140,28/09/15,onions
3286,23/12/15,finished products
4729,08/04/15,salt
3204,20/02/15,tropical fruit
1574,18/04/15,other vegetables
3361,22/07/15,chocolate
1776,25/02/15,ice cream
2009,11/10/15,tropical fruit
3479,24/03/15,frankfurter
2394,22/11/15,butter
1337,25/12/15,other vegetables
3574,13/06/15,tropical fruit
1727,18/07/15,citrus fruit
1016,05/10/15,UHT-milk
4326,21/01/15,beef
2212,22/09/15,curd
1990,01/08/15,citrus fruit
3836,06/12/15,yogurt
4560,01/07/15,bottled beer
1119,04/02/15,grapes
1379,18/05/15,pork
1658,03/09/15,sausage
2948,16/06/15,frankfurter
1273,04/05/15,artif. sweetener
1155,27/12/15,frankfurter
1672,05/02/15,pip fruit
