,Year,Quarter,Month,DayofMonth,DayOfWeek,FlightDate,Reporting_Airline,DOT_ID_Reporting_Airline,IATA_CODE_Reporting_Airline,Tail_Number,Flight_Number_Reporting_Airline,OriginAirportID,OriginAirportSeqID,OriginCityMarketID,Origin,OriginCityName,OriginState,OriginStateFips,OriginStateName,OriginWac,DestAirportID,DestAirportSeqID,DestCityMarketID,Dest,DestCityName,DestState,DestStateFips,DestStateName,DestWac,CRSDepTime,DepTime,DepDelay,DepDelayMinutes,DepDel15,DepartureDelayGroups,DepTimeBlk,TaxiOut,WheelsOff,WheelsOn,TaxiIn,CRSArrTime,ArrTime,ArrDelay,ArrDelayMinutes,ArrDel15,ArrivalDelayGroups,ArrTimeBlk,Cancelled,CancellationCode,Diverted,CRSElapsedTime,ActualElapsedTime,AirTime,Flights,Distance,DistanceGroup,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay,FirstDepTime,TotalAddGTime,LongestAddGTime,DivAirportLandings,DivReachedDest,DivActualElapsedTime,DivArrDelay,DivDistance,Div1Airport,Div1AirportID,Div1AirportSeqID,Div1WheelsOn,Div1TotalGTime,Div1LongestGTime,Div1WheelsOff,Div1TailNum,Div2Airport,Div2AirportID,Div2AirportSeqID,Div2WheelsOn,Div2TotalGTime,Div2LongestGTime,Div2WheelsOff,Div2TailNum,Div3Airport,Div3AirportID,Div3AirportSeqID,Div3WheelsOn,Div3TotalGTime,Div3LongestGTime,Div3WheelsOff,Div3TailNum,Div4Airport,Div4AirportID,Div4AirportSeqID,Div4WheelsOn,Div4TotalGTime,Div4LongestGTime,Div4WheelsOff,Div4TailNum,Div5Airport,Div5AirportID,Div5AirportSeqID,Div5WheelsOn,Div5TotalGTime,Div5LongestGTime,Div5WheelsOff,Div5TailNum
15408,1988,1,3,30,3,1988-03-30,US,20355,AL,,471,14122,1412201,30198,PIT,"Pittsburgh, PA",PA,42.0,Pennsylvania,23,13930,1393001,30977,ORD,"Chicago, IL",IL,17.0,Illinois,41,1620,1626.0,6.0,6.0,0.0,0.0,1600-1659,,,,,1644,1649.0,5.0,5.0,0.0,0.0,1600-1659,0.0,,0.0,84.0,83.0,,1.0,412.0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1452612,2003,1,3,14,5,2003-03-14,MQ,20398,MQ,N708MQ,4806,10721,1072101,30721,BOS,"Boston, MA",MA,25.0,Massachusetts,13,12478,1247801,31703,JFK,"New York, NY",NY,36.0,New York,22,935,930.0,-5.0,0.0,0.0,-1.0,0900-0959,16.0,946.0,1026.0,3.0,1050,1029.0,-21.0,0.0,0.0,-2.0,1000-1059,0.0,,0.0,75.0,59.0,40.0,1.0,187.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
993792,2015,2,4,24,5,2015-04-24,B6,20409,B6,N527JB,2006,11697,1169704,32467,FLL,"Fort Lauderdale, FL",FL,12.0,Florida,33,11618,1161802,31703,EWR,"Newark, NJ",NJ,34.0,New Jersey,21,612,559.0,-13.0,0.0,0.0,-1.0,0600-0659,14.0,613.0,844.0,10.0,900,854.0,-6.0,0.0,0.0,-1.0,0900-0959,0.0,,0.0,168.0,175.0,151.0,1.0,1065.0,5,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
703669,1997,4,12,25,4,1997-12-25,TW,20211,TW,N9307R,343,11618,1161801,31703,EWR,"Newark, NJ",NJ,34.0,New Jersey,21,15016,1501601,31123,STL,"St. Louis, MO",MO,29.0,Missouri,64,840,927.0,47.0,47.0,1.0,3.0,0800-0859,18.0,945.0,1106.0,4.0,1035,1110.0,35.0,35.0,1.0,2.0,1000-1059,0.0,,0.0,175.0,163.0,141.0,1.0,872.0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
539976,2015,1,3,11,3,2015-03-11,US,20355,US,N105UW,713,11057,1105703,31057,CLT,"Charlotte, NC",NC,37.0,North Carolina,36,13487,1348702,31650,MSP,"Minneapolis, MN",MN,27.0,Minnesota,63,935,931.0,-4.0,0.0,0.0,-1.0,0900-0959,21.0,952.0,1111.0,4.0,1123,1115.0,-8.0,0.0,0.0,-1.0,1100-1159,0.0,,0.0,168.0,164.0,139.0,1.0,930.0,4,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1604649,2007,3,8,22,3,2007-08-22,US,20355,US,N306AW,407,14107,1410701,30466,PHX,"Phoenix, AZ",AZ,4.0,Arizona,81,14771,1477101,32457,SFO,"San Francisco, CA",CA,6.0,California,91,1305,1302.0,-3.0,0.0,0.0,-1.0,1300-1359,12.0,1314.0,1449.0,5.0,1500,1454.0,-6.0,0.0,0.0,-1.0,1500-1559,0.0,,0.0,115.0,112.0,95.0,1.0,651.0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1028803,2019,2,5,23,4,2019-05-23,YX,20452,YX,N407YX,4517,13303,1330303,32467,MIA,"Miami, FL",FL,12.0,Florida,33,12953,1295304,31703,LGA,"New York, NY",NY,36.0,New York,22,651,645.0,-6.0,0.0,0.0,-1.0,0600-0659,15.0,700.0,934.0,28.0,953,1002.0,9.0,9.0,0.0,0.0,0900-0959,0.0,,0.0,182.0,197.0,154.0,1.0,1096.0,5,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
798283,2008,4,11,21,5,2008-11-21,CO,19704,CO,N32626,761,14683,1468301,33214,SAT,"San Antonio, TX",TX,48.0,Texas,74,11618,1161801,31703,EWR,"Newark, NJ",NJ,34.0,New Jersey,21,1729,1725.0,-4.0,0.0,0.0,-1.0,1700-1759,16.0,1741.0,2151.0,12.0,2229,2203.0,-26.0,0.0,0.0,-2.0,2200-2259,0.0,,0.0,240.0,218.0,190.0,1.0,1569.0,7,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1618157,2006,2,5,26,5,2006-05-26,MQ,20398,MQ,N904AE,3216,14960,1496001,34960,SPS,"Wichita Falls, TX",TX,48.0,Texas,74,11298,1129802,30194,DFW,"Dallas/Fort Worth, TX",TX,48.0,Texas,74,1837,1851.0,14.0,14.0,0.0,0.0,1800-1859,7.0,1858.0,1925.0,8.0,1927,1933.0,6.0,6.0,0.0,0.0,1900-1959,0.0,,0.0,50.0,42.0,27.0,1.0,113.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
979300,2018,1,3,4,7,2018-03-04,DL,19790,DL,N6702,1549,10397,1039707,30397,ATL,"Atlanta, GA",GA,13.0,Georgia,34,13487,1348702,31650,MSP,"Minneapolis, MN",MN,27.0,Minnesota,63,1513,1509.0,-4.0,0.0,0.0,-1.0,1500-1559,13.0,1522.0,1642.0,4.0,1659,1646.0,-13.0,0.0,0.0,-1.0,1600-1659,0.0,,0.0,166.0,157.0,140.0,1.0,907.0,4,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
856018,2008,1,1,31,4,2008-01-31,YV,20378,YV,N923FJ,2715,12278,1227801,30928,ICT,"Wichita, KS",KS,20.0,Kansas,62,14107,1410701,30466,PHX,"Phoenix, AZ",AZ,4.0,Arizona,81,1525,1523.0,-2.0,0.0,0.0,-1.0,1500-1559,14.0,1537.0,1643.0,7.0,1659,1650.0,-9.0,0.0,0.0,-1.0,1600-1659,0.0,,0.0,154.0,147.0,126.0,1.0,870.0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75258,2002,1,1,18,5,2002-01-18,WN,19393,WN,N703@@,1399,15304,1530401,33195,TPA,"Tampa, FL",FL,12.0,Florida,33,14027,1402701,34027,PBI,"West Palm Beach/Palm Beach, FL",FL,12.0,Florida,33,1405,1410.0,5.0,5.0,0.0,0.0,1400-1459,10.0,1420.0,1455.0,4.0,1455,1459.0,4.0,4.0,0.0,0.0,1400-1459,0.0,,0.0,50.0,49.0,35.0,1.0,174.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
475356,2006,1,2,24,5,2006-02-24,EV,20366,EV,N635AS,4699,10431,1043101,30431,AVL,"Asheville, NC",NC,37.0,North Carolina,36,10397,1039703,30397,ATL,"Atlanta, GA",GA,13.0,Georgia,34,600,610.0,10.0,10.0,0.0,0.0,0600-0659,4.0,614.0,655.0,6.0,714,701.0,-13.0,0.0,0.0,-1.0,0700-0759,0.0,,0.0,74.0,51.0,41.0,1.0,164.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1553918,2019,2,6,24,1,2019-06-24,UA,19977,UA,N460UA,605,11278,1127805,30852,DCA,"Washington, DC",VA,51.0,Virginia,38,13930,1393007,30977,ORD,"Chicago, IL",IL,17.0,Illinois,41,700,658.0,-2.0,0.0,0.0,-1.0,0700-0759,19.0,717.0,746.0,15.0,807,801.0,-6.0,0.0,0.0,-1.0,0800-0859,0.0,,0.0,127.0,123.0,89.0,1.0,612.0,3,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1612772,2015,1,1,6,2,2015-01-06,EV,20366,EV,N16911,4756,11057,1105703,31057,CLT,"Charlotte, NC",NC,37.0,North Carolina,36,13930,1393003,30977,ORD,"Chicago, IL",IL,17.0,Illinois,41,925,,,,,,0900-0959,,,,,1038,,,,,,1000-1059,1.0,B,0.0,133.0,,,1.0,599.0,3,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1438345,2010,2,5,2,7,2010-05-02,WN,19393,WN,N229WN,2892,10423,1042302,30423,AUS,"Austin, TX",TX,48.0,Texas,74,14107,1410701,30466,PHX,"Phoenix, AZ",AZ,4.0,Arizona,81,1300,1304.0,4.0,4.0,0.0,0.0,1300-1359,15.0,1319.0,1335.0,6.0,1335,1341.0,6.0,6.0,0.0,0.0,1300-1359,0.0,,0.0,155.0,157.0,136.0,1.0,872.0,4,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1196258,2019,1,2,10,7,2019-02-10,OO,20304,OO,N633SK,4138,11433,1143302,31295,DTW,"Detroit, MI",MI,26.0,Michigan,43,12197,1219702,31703,HPN,"White Plains, NY",NY,36.0,New York,22,1405,1405.0,0.0,0.0,0.0,0.0,1400-1459,15.0,1420.0,1526.0,3.0,1553,1529.0,-24.0,0.0,0.0,-2.0,1500-1559,0.0,,0.0,108.0,84.0,66.0,1.0,505.0,3,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
844653,2001,2,6,21,4,2001-06-21,DL,19790,DL,-N958D,526,10397,1039702,30397,ATL,"Atlanta, GA",GA,13.0,Georgia,34,12953,1295301,31703,LGA,"New York, NY",NY,36.0,New York,22,1230,1234.0,4.0,4.0,0.0,0.0,1200-1259,13.0,1247.0,1511.0,9.0,1445,1520.0,35.0,35.0,1.0,2.0,1400-1459,0.0,,0.0,135.0,166.0,144.0,1.0,761.0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
461707,2017,2,5,5,5,2017-05-05,OO,20304,OO,N803SK,4538,13487,1348702,31650,MSP,"Minneapolis, MN",MN,27.0,Minnesota,63,10693,1069302,30693,BNA,"Nashville, TN",TN,47.0,Tennessee,54,1750,1748.0,-2.0,0.0,0.0,-1.0,1700-1759,34.0,1822.0,1949.0,4.0,2011,1953.0,-18.0,0.0,0.0,-2.0,2000-2059,0.0,,0.0,141.0,125.0,87.0,1.0,695.0,3,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1966229,1993,2,4,5,1,1993-04-05,TW,20211,TW,,728,10397,1039702,30397,ATL,"Atlanta, GA",GA,13.0,Georgia,34,11278,1127801,30852,DCA,"Washington, DC",VA,51.0,Virginia,38,1910,1915.0,5.0,5.0,0.0,0.0,1900-1959,,,,,2100,2054.0,-6.0,0.0,0.0,-1.0,2100-2159,0.0,,0.0,110.0,99.0,,1.0,547.0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
398331,2019,4,12,29,7,2019-12-29,YX,20452,YX,N428YX,4586,11066,1106606,31066,CMH,"Columbus, OH",OH,39.0,Ohio,44,11278,1127805,30852,DCA,"Washington, DC",VA,51.0,Virginia,38,758,756.0,-2.0,0.0,0.0,-1.0,0700-0759,15.0,811.0,858.0,5.0,920,903.0,-17.0,0.0,0.0,-2.0,0900-0959,0.0,,0.0,82.0,67.0,47.0,1.0,323.0,2,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1637208,2016,1,3,30,3,2016-03-30,WN,19393,WN,N944WN,4085,13198,1319801,33198,MCI,"Kansas City, MO",MO,29.0,Missouri,64,13232,1323202,30977,MDW,"Chicago, IL",IL,17.0,Illinois,41,835,833.0,-2.0,0.0,0.0,-1.0,0800-0859,10.0,843.0,942.0,6.0,955,948.0,-7.0,0.0,0.0,-1.0,0900-0959,0.0,,0.0,80.0,75.0,59.0,1.0,405.0,2,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1725274,2019,1,3,3,7,2019-03-03,WN,19393,WN,N234WN,2352,14683,1468305,33214,SAT,"San Antonio, TX",TX,48.0,Texas,74,14107,1410702,30466,PHX,"Phoenix, AZ",AZ,4.0,Arizona,81,1740,1737.0,-3.0,0.0,0.0,-1.0,1700-1759,8.0,1745.0,1901.0,7.0,1910,1908.0,-2.0,0.0,0.0,-1.0,1900-1959,0.0,,0.0,150.0,151.0,136.0,1.0,843.0,4,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49150,2005,4,12,31,6,2005-12-31,AA,19805,AA,N065AA,1473,12478,1247801,31703,JFK,"New York, NY",NY,36.0,New York,22,14843,1484302,34819,SJU,"San Juan, PR",PR,72.0,Puerto Rico,3,1230,1253.0,23.0,23.0,1.0,1.0,1200-1259,13.0,1306.0,1716.0,4.0,1716,1720.0,4.0,4.0,0.0,0.0,1700-1759,0.0,,0.0,226.0,207.0,190.0,1.0,1597.0,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1287033,1998,4,11,28,6,1998-11-28,AA,19805,AA,N242AA,1591,11298,1129802,30194,DFW,"Dallas/Fort Worth, TX",TX,48.0,Texas,74,10140,1014001,30140,ABQ,"Albuquerque, NM",NM,35.0,New Mexico,86,1846,1848.0,2.0,2.0,0.0,0.0,1800-1859,32.0,1920.0,1943.0,6.0,1944,1949.0,5.0,5.0,0.0,0.0,1900-1959,0.0,,0.0,118.0,121.0,83.0,1.0,569.0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
770557,2013,1,1,24,4,2013-01-24,US,20355,US,N444US,1578,11057,1105703,31057,CLT,"Charlotte, NC",NC,37.0,North Carolina,36,14100,1410002,34100,PHL,"Philadelphia, PA",PA,42.0,Pennsylvania,23,1445,1507.0,22.0,22.0,1.0,1.0,1400-1459,22.0,1529.0,1641.0,4.0,1622,1645.0,23.0,23.0,1.0,1.0,1600-1659,0.0,,0.0,97.0,98.0,72.0,1.0,449.0,2,22.0,0.0,1.0,0.0,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
414177,2009,2,6,28,7,2009-06-28,WN,19393,WN,N908WN,691,14107,1410701,30466,PHX,"Phoenix, AZ",AZ,4.0,Arizona,81,14747,1474702,30559,SEA,"Seattle, WA",WA,53.0,Washington,93,850,852.0,2.0,2.0,0.0,0.0,0800-0859,18.0,910.0,1138.0,7.0,1150,1145.0,-5.0,0.0,0.0,-1.0,1100-1159,0.0,,0.0,180.0,173.0,148.0,1.0,1107.0,5,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1258460,2001,3,8,1,3,2001-08-01,MQ,20398,MQ,-N739M,4505,12953,1295301,31703,LGA,"New York, NY",NY,36.0,New York,22,13931,1393101,33667,ORF,"Norfolk, VA",VA,51.0,Virginia,38,1725,1805.0,40.0,40.0,1.0,2.0,1700-1759,28.0,1833.0,1919.0,5.0,1855,1924.0,29.0,29.0,1.0,1.0,1800-1859,0.0,,0.0,90.0,79.0,46.0,1.0,296.0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1452202,2004,1,1,24,6,2004-01-24,WN,19393,WN,N759,1409,15304,1530401,33195,TPA,"Tampa, FL",FL,12.0,Florida,33,13495,1349501,33495,MSY,"New Orleans, LA",LA,22.0,Louisiana,72,935,935.0,0.0,0.0,0.0,0.0,0900-0959,5.0,940.0,1004.0,2.0,1020,1006.0,-14.0,0.0,0.0,-1.0,1000-1059,0.0,,0.0,105.0,91.0,84.0,1.0,487.0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1800031,2002,1,3,25,1,2002-03-25,MQ,20398,MQ,N642MQ,4172,13930,1393001,30977,ORD,"Chicago, IL",IL,17.0,Illinois,41,11066,1106601,31066,CMH,"Columbus, OH",OH,39.0,Ohio,44,1917,1913.0,-4.0,0.0,0.0,-1.0,1900-1959,13.0,1926.0,2124.0,3.0,2126,2127.0,1.0,1.0,0.0,0.0,2100-2159,0.0,,0.0,69.0,74.0,58.0,1.0,296.0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
256743,2002,4,12,22,7,2002-12-22,AA,19805,AA,N289AA,1650,12889,1288902,32211,LAS,"Las Vegas, NV",NV,32.0,Nevada,85,13930,1393001,30977,ORD,"Chicago, IL",IL,17.0,Illinois,41,2350,2347.0,-3.0,0.0,0.0,-1.0,2300-2359,9.0,2356.0,449.0,5.0,516,454.0,-22.0,0.0,0.0,-2.0,0001-0559,0.0,,0.0,206.0,187.0,173.0,1.0,1515.0,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1852413,2017,3,9,8,5,2017-09-08,AA,19805,AA,N3JUAA,2294,13303,1330303,32467,MIA,"Miami, FL",FL,12.0,Florida,33,14492,1449202,34492,RDU,"Raleigh/Durham, NC",NC,37.0,North Carolina,36,854,,,,,,0800-0859,,,,,1103,,,,,,1100-1159,1.0,B,0.0,129.0,,,1.0,700.0,3,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1607417,2008,4,11,8,6,2008-11-08,OO,20304,OO,N986CA,2870,13342,1334202,33342,MKE,"Milwaukee, WI",WI,55.0,Wisconsin,45,10693,1069301,30693,BNA,"Nashville, TN",TN,47.0,Tennessee,54,720,720.0,0.0,0.0,0.0,0.0,0700-0759,14.0,734.0,840.0,6.0,852,846.0,-6.0,0.0,0.0,-1.0,0800-0859,0.0,,0.0,92.0,86.0,66.0,1.0,475.0,2,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
885992,2005,4,12,20,2,2005-12-20,UA,19977,UA,,1182,12094,1209401,34699,HDN,"Hayden, CO",CO,8.0,Colorado,82,11292,1129202,30325,DEN,"Denver, CO",CO,8.0,Colorado,82,812,,,,,,0800-0859,,,,,914,,,,,,0900-0959,1.0,B,0.0,62.0,,,1.0,141.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1853627,2017,4,10,15,7,2017-10-15,WN,19393,WN,N752SW,2996,13204,1320402,31454,MCO,"Orlando, FL",FL,12.0,Florida,33,12339,1233904,32337,IND,"Indianapolis, IN",IN,18.0,Indiana,42,1440,1435.0,-5.0,0.0,0.0,-1.0,1400-1459,13.0,1448.0,1640.0,5.0,1700,1645.0,-15.0,0.0,0.0,-1.0,1700-1759,0.0,,0.0,140.0,130.0,112.0,1.0,829.0,4,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1006941,2008,1,1,1,2,2008-01-01,XE,20374,XE,N18114,2813,12451,1245101,31136,JAX,"Jacksonville, FL",FL,12.0,Florida,33,11618,1161801,31703,EWR,"Newark, NJ",NJ,34.0,New Jersey,21,2000,2030.0,30.0,30.0,1.0,2.0,2000-2059,12.0,2042.0,2221.0,13.0,2225,2234.0,9.0,9.0,0.0,0.0,2200-2259,0.0,,0.0,145.0,124.0,99.0,1.0,821.0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
946309,2010,2,5,28,5,2010-05-28,B6,20409,B6,N547JB,84,11697,1169702,32467,FLL,"Fort Lauderdale, FL",FL,12.0,Florida,33,12478,1247801,31703,JFK,"New York, NY",NY,36.0,New York,22,1851,1914.0,23.0,23.0,1.0,1.0,1800-1859,28.0,1942.0,2209.0,18.0,2200,2227.0,27.0,27.0,1.0,1.0,2200-2259,0.0,,0.0,189.0,193.0,147.0,1.0,1069.0,5,0.0,0.0,17.0,0.0,10.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1054168,1998,3,8,10,1,1998-08-10,DL,19790,DL,N997DL,1459,10397,1039702,30397,ATL,"Atlanta, GA",GA,13.0,Georgia,34,14307,1430701,30721,PVD,"Providence, RI",RI,44.0,Rhode Island,15,850,846.0,-4.0,0.0,0.0,-1.0,0800-0859,18.0,904.0,1105.0,4.0,1116,1109.0,-7.0,0.0,0.0,-1.0,1100-1159,0.0,,0.0,146.0,143.0,121.0,1.0,903.0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1876330,1991,2,4,5,5,1991-04-05,CO,19704,CO,,874,14986,1498601,34986,SRQ,"Sarasota/Bradenton, FL",FL,12.0,Florida,33,11618,1161801,31703,EWR,"Newark, NJ",NJ,34.0,New Jersey,21,1255,1258.0,3.0,3.0,0.0,0.0,1200-1259,,,,,1539,1558.0,19.0,19.0,1.0,1.0,1500-1559,0.0,,0.0,164.0,180.0,,1.0,1034.0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
798169,1996,3,8,8,4,1996-08-08,UA,19977,UA,N9024U,1487,11193,1119301,33105,CVG,"Cincinnati, OH",KY,21.0,Kentucky,52,13930,1393001,30977,ORD,"Chicago, IL",IL,17.0,Illinois,41,1125,1128.0,3.0,3.0,0.0,0.0,1100-1159,10.0,1138.0,1135.0,7.0,1135,1142.0,7.0,7.0,0.0,0.0,1100-1159,0.0,,0.0,70.0,74.0,57.0,1.0,264.0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
366502,2015,3,7,27,1,2015-07-27,WN,19393,WN,N483WN,1143,10140,1014003,30140,ABQ,"Albuquerque, NM",NM,35.0,New Mexico,86,12191,1219102,31453,HOU,"Houston, TX",TX,48.0,Texas,74,620,616.0,-4.0,0.0,0.0,-1.0,0600-0659,11.0,627.0,910.0,6.0,920,916.0,-4.0,0.0,0.0,-1.0,0900-0959,0.0,,0.0,120.0,120.0,103.0,1.0,759.0,4,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
904714,2008,3,8,3,7,2008-08-03,FL,20437,FL,N977AT,862,13204,1320401,31454,MCO,"Orlando, FL",FL,12.0,Florida,33,10397,1039703,30397,ATL,"Atlanta, GA",GA,13.0,Georgia,34,1758,1755.0,-3.0,0.0,0.0,-1.0,1700-1759,27.0,1822.0,1939.0,13.0,1932,1952.0,20.0,20.0,1.0,1.0,1900-1959,0.0,,0.0,94.0,117.0,77.0,1.0,403.0,2,0.0,0.0,20.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1870413,2008,3,7,24,4,2008-07-24,UA,19977,UA,N514UA,1194,14057,1405701,34057,PDX,"Portland, OR",OR,41.0,Oregon,92,11292,1129202,30325,DEN,"Denver, CO",CO,8.0,Colorado,82,711,711.0,0.0,0.0,0.0,0.0,0700-0759,9.0,720.0,1024.0,16.0,1037,1040.0,3.0,3.0,0.0,0.0,1000-1059,0.0,,0.0,146.0,149.0,124.0,1.0,991.0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1960010,1998,3,9,10,4,1998-09-10,WN,19393,WN,N369,521,14107,1410701,30466,PHX,"Phoenix, AZ",AZ,4.0,Arizona,81,10140,1014001,30140,ABQ,"Albuquerque, NM",NM,35.0,New Mexico,86,1330,1330.0,0.0,0.0,0.0,0.0,1300-1359,10.0,1340.0,1531.0,3.0,1535,1534.0,-1.0,0.0,0.0,-1.0,1500-1559,0.0,,0.0,65.0,64.0,51.0,1.0,328.0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1564762,2007,1,3,22,4,2007-03-22,AA,19805,AA,N4YJAA,1835,13930,1393001,30977,ORD,"Chicago, IL",IL,17.0,Illinois,41,14771,1477101,32457,SFO,"San Francisco, CA",CA,6.0,California,91,1550,1717.0,87.0,87.0,1.0,5.0,1500-1559,11.0,1728.0,1927.0,3.0,1840,1930.0,50.0,50.0,1.0,3.0,1800-1859,0.0,,0.0,290.0,253.0,239.0,1.0,1846.0,8,11.0,0.0,0.0,0.0,39.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
349262,1997,2,6,4,3,1997-06-04,TW,20211,TW,N952U,173,15016,1501601,31123,STL,"St. Louis, MO",MO,29.0,Missouri,64,14057,1405701,34057,PDX,"Portland, OR",OR,41.0,Oregon,92,1700,1700.0,0.0,0.0,0.0,0.0,1700-1759,19.0,1719.0,1910.0,6.0,1919,1916.0,-3.0,0.0,0.0,-1.0,1900-1959,0.0,,0.0,259.0,256.0,231.0,1.0,1708.0,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
398263,1999,1,2,6,6,1999-02-06,AA,19805,AA,UNKNOW,1171,11298,1129802,30194,DFW,"Dallas/Fort Worth, TX",TX,48.0,Texas,74,11540,1154001,30615,ELP,"El Paso, TX",TX,48.0,Texas,74,1841,,,,,,1800-1859,,,,,1932,,,,,,1900-1959,1.0,,0.0,111.0,,,1.0,551.0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
